,subject_id,condition,choice,rt,p1,gp,m0,p0,presentation01,m1,g1,gm,g0,last_stage_favours,choice_formatted,model,pred_mean_rt,pred_p_choose_0,pred_choice,pred_rt
0,19,exp_78,0.0,0.573,0.2,0.5,0.4,0.8,0.0,0.6799999999999999,0.6,0.5,0.4,1.0,1.0,TwoStageMixtureNoScaling,0.3237,1.0,1.0,0.1647
1,19,exp_8,0.0,0.621,0.29,0.5,0.18,0.7,0.0,0.5,0.4,0.5,0.6,1.0,1.0,TwoStageMixtureNoScaling,0.5542,0.9976,1.0,1.4026
2,19,exp_9,0.0,0.986,0.29,0.6,0.18,0.7,1.0,0.5,0.5,0.4,0.5,1.0,1.0,TwoStageMixtureNoScaling,0.5243,0.9983,1.0,0.5744
3,19,catch_1,1.0,0.44,0.41,0.5,0.42000000000000004,0.29,1.0,0.5900000000000001,0.5,0.5,0.5,1.0,0.0,TwoStageMixtureNoScaling,0.8276,0.0202,0.0,1.7021
4,19,exp_25,0.0,0.547,0.17,0.6,0.2,0.3,1.0,0.3,0.5,0.4,0.5,1.0,1.0,TwoStageMixtureNoScaling,0.7378,0.9881,1.0,1.049
5,19,exp_114,0.0,0.664,0.22,0.5,0.42000000000000004,0.49,0.0,0.79,0.4,0.5,0.6,0.0,1.0,TwoStageMixtureNoScaling,0.5338,0.9981,1.0,0.1873
6,19,catch_0,1.0,0.862,0.72,0.5,0.2,0.19,0.0,0.3,0.5,0.5,0.5,1.0,0.0,TwoStageMixtureNoScaling,0.3178,0.0,0.0,0.2372
7,19,exp_115,0.0,0.577,0.22,0.6,0.42000000000000004,0.49,1.0,0.79,0.5,0.4,0.5,0.0,1.0,TwoStageMixtureNoScaling,0.5072,0.9987,1.0,0.5687
8,19,exp_88,0.0,0.428,0.38,0.5,0.3,0.5,0.0,0.4,0.4,0.5,0.6,1.0,1.0,TwoStageMixtureNoScaling,1.2204,0.8436,0.0,1.1464
9,19,exp_90,0.0,0.555,0.38,0.5,0.3,0.5,0.0,0.4,0.4,0.5,0.6,0.0,1.0,TwoStageMixtureNoScaling,1.1348,0.8952,1.0,0.5838
10,19,exp_68,0.0,0.629,0.51,0.5,0.42000000000000004,0.72,0.0,0.52,0.6,0.5,0.4,0.0,1.0,TwoStageMixtureNoScaling,0.9772,0.9513,1.0,2.045
11,19,exp_113,0.0,0.382,0.22,0.6,0.42000000000000004,0.49,1.0,0.79,0.5,0.4,0.5,1.0,1.0,TwoStageMixtureNoScaling,0.5426,0.9979,1.0,0.292
12,19,exp_10,0.0,0.792,0.29,0.5,0.18,0.7,0.0,0.5,0.4,0.5,0.6,0.0,1.0,TwoStageMixtureNoScaling,0.5175,0.9985,1.0,0.9045
13,19,exp_59,0.0,1.06,0.21,0.6,0.18,0.41,1.0,0.62,0.5,0.4,0.5,0.0,1.0,TwoStageMixtureNoScaling,0.6557,0.9936,1.0,0.2681
14,19,catch_6,1.0,0.514,0.59,0.5,0.19,0.23,0.0,0.27,0.5,0.5,0.5,1.0,0.0,TwoStageMixtureNoScaling,0.4251,0.0004,0.0,0.3853
15,19,exp_40,1.0,0.415,0.48,0.5,0.16999999999999996,0.81,0.0,0.79,0.4,0.5,0.6,1.0,0.0,TwoStageMixtureNoScaling,1.2628,0.8088,0.0,1.3771
16,19,exp_116,0.0,0.318,0.22,0.5,0.42000000000000004,0.49,0.0,0.79,0.6,0.5,0.4,0.0,1.0,TwoStageMixtureNoScaling,0.5338,0.9981,1.0,0.2265
17,19,catch_9,1.0,0.444,0.72,0.5,0.18,0.48,1.0,0.4,0.5,0.5,0.5,1.0,0.0,TwoStageMixtureNoScaling,0.6863,0.008,0.0,0.6514
18,19,exp_47,0.0,1.745,0.48,0.4,0.16999999999999996,0.81,1.0,0.79,0.5,0.6,0.5,1.0,1.0,TwoStageMixtureNoScaling,1.3265,0.7373,1.0,1.8395
19,19,catch_7,1.0,0.543,0.48,0.5,0.21000000000000002,0.28,1.0,0.52,0.5,0.5,0.5,1.0,0.0,TwoStageMixtureNoScaling,0.5753,0.003,0.0,0.5259
20,19,exp_94,0.0,0.532,0.38,0.5,0.3,0.5,0.0,0.4,0.6,0.5,0.4,1.0,1.0,TwoStageMixtureNoScaling,1.2204,0.8436,0.0,1.5477
21,19,exp_102,0.0,0.41,0.38,0.5,0.49000000000000005,0.58,0.0,0.6900000000000001,0.6,0.5,0.4,1.0,1.0,TwoStageMixtureNoScaling,0.9779,0.9511,1.0,1.4662
22,19,exp_67,1.0,0.409,0.51,0.6,0.42000000000000004,0.72,1.0,0.52,0.5,0.4,0.5,0.0,0.0,TwoStageMixtureNoScaling,0.9464,0.9585,1.0,0.2091
23,19,exp_45,1.0,1.658,0.48,0.4,0.16999999999999996,0.81,1.0,0.79,0.5,0.6,0.5,0.0,0.0,TwoStageMixtureNoScaling,1.2576,0.8135,0.0,2.0092
24,19,exp_35,0.0,0.571,0.7,0.6,0.2,0.79,1.0,0.32,0.5,0.4,0.5,0.0,1.0,TwoStageMixtureNoScaling,1.3845,0.6295,1.0,1.7016
25,19,exp_46,1.0,0.43,0.48,0.5,0.16999999999999996,0.81,0.0,0.79,0.6,0.5,0.4,1.0,0.0,TwoStageMixtureNoScaling,1.2628,0.8088,1.0,1.3892
26,19,exp_50,0.0,0.359,0.32,0.5,0.6900000000000001,0.49,0.0,0.82,0.4,0.5,0.6,0.0,1.0,TwoStageMixtureNoScaling,0.8017,0.9818,0.0,0.6524
27,19,exp_26,0.0,0.458,0.17,0.5,0.2,0.3,0.0,0.3,0.4,0.5,0.6,0.0,1.0,TwoStageMixtureNoScaling,0.7101,0.9902,1.0,1.6515
28,19,exp_69,0.0,0.644,0.51,0.4,0.42000000000000004,0.72,1.0,0.52,0.5,0.6,0.5,0.0,1.0,TwoStageMixtureNoScaling,1.0211,0.9392,1.0,1.5523
29,19,exp_52,0.0,0.443,0.32,0.5,0.6900000000000001,0.49,0.0,0.82,0.6,0.5,0.4,0.0,1.0,TwoStageMixtureNoScaling,0.8017,0.9818,1.0,0.8153
30,19,exp_42,1.0,0.556,0.48,0.5,0.16999999999999996,0.81,0.0,0.79,0.4,0.5,0.6,0.0,0.0,TwoStageMixtureNoScaling,1.1819,0.8694,1.0,2.6044
31,19,exp_73,0.0,0.499,0.2,0.6,0.4,0.8,1.0,0.6799999999999999,0.5,0.4,0.5,1.0,1.0,TwoStageMixtureNoScaling,0.307,1.0,1.0,0.2508
32,19,exp_96,0.0,0.509,0.38,0.5,0.49000000000000005,0.58,0.0,0.6900000000000001,0.4,0.5,0.6,1.0,1.0,TwoStageMixtureNoScaling,0.9779,0.9511,0.0,0.4374
33,19,exp_3,0.0,1.075,0.49,0.6,0.53,0.79,1.0,0.8300000000000001,0.5,0.4,0.5,0.0,1.0,TwoStageMixtureNoScaling,0.8284,0.9786,1.0,0.4421
34,19,exp_20,0.0,0.447,0.17,0.5,0.43,0.28,0.0,0.8300000000000001,0.6,0.5,0.4,0.0,1.0,TwoStageMixtureNoScaling,0.8417,0.9768,1.0,0.5775
35,19,catch_3,1.0,1.042,0.38,0.5,0.58,0.19,1.0,0.6799999999999999,0.5,0.5,0.5,1.0,0.0,TwoStageMixtureNoScaling,0.5058,0.0013,0.0,0.3106
36,19,exp_108,0.0,0.564,0.4,0.5,0.21000000000000002,0.78,0.0,0.3,0.6,0.5,0.4,0.0,1.0,TwoStageMixtureNoScaling,0.6042,0.996,1.0,0.559
37,19,catch_2,1.0,0.619,0.6,0.5,0.22000000000000003,0.38,0.0,0.4,0.5,0.5,0.5,1.0,0.0,TwoStageMixtureNoScaling,0.678,0.0075,0.0,0.5169
38,19,exp_89,0.0,0.539,0.38,0.6,0.3,0.5,1.0,0.4,0.5,0.4,0.5,1.0,1.0,TwoStageMixtureNoScaling,1.1984,0.8589,1.0,0.7611
39,19,exp_15,0.0,0.844,0.29,0.4,0.18,0.7,1.0,0.5,0.5,0.6,0.5,1.0,1.0,TwoStageMixtureNoScaling,0.6077,0.9959,1.0,0.3132
40,19,exp_18,0.0,0.87,0.17,0.5,0.43,0.28,0.0,0.8300000000000001,0.4,0.5,0.6,0.0,1.0,TwoStageMixtureNoScaling,0.8417,0.9768,1.0,1.0677
41,19,catch_5,1.0,0.375,0.49,0.5,0.32,0.4,1.0,0.43,0.5,0.5,0.5,1.0,0.0,TwoStageMixtureNoScaling,1.1083,0.0794,0.0,2.1038
42,19,exp_57,0.0,0.722,0.21,0.6,0.18,0.41,1.0,0.62,0.5,0.4,0.5,1.0,1.0,TwoStageMixtureNoScaling,0.7126,0.9901,1.0,0.8769
43,19,exp_107,0.0,0.609,0.4,0.6,0.21000000000000002,0.78,1.0,0.3,0.5,0.4,0.5,0.0,1.0,TwoStageMixtureNoScaling,0.5753,0.997,1.0,0.7601
44,19,exp_53,0.0,0.51,0.32,0.4,0.6900000000000001,0.49,1.0,0.82,0.5,0.6,0.5,0.0,1.0,TwoStageMixtureNoScaling,0.8454,0.9763,1.0,0.5253
45,19,exp_37,1.0,0.533,0.7,0.4,0.2,0.79,1.0,0.32,0.5,0.6,0.5,0.0,0.0,TwoStageMixtureNoScaling,1.3946,0.5996,1.0,0.5691
46,19,exp_64,0.0,0.44,0.51,0.5,0.42000000000000004,0.72,0.0,0.52,0.4,0.5,0.6,1.0,1.0,TwoStageMixtureNoScaling,1.0667,0.9241,1.0,0.2315
