,subject_id,condition,choice,rt,p1,gp,m0,p0,presentation01,m1,g1,gm,g0,last_stage_favours,choice_formatted,model,pred_mean_rt,pred_p_choose_0,pred_choice,pred_rt
0,17,exp_114,0.0,1.0921899999957532,0.22,0.5,0.42000000000000004,0.49,0.0,0.79,0.4,0.5,0.6,0.0,1.0,TwoStageMixtureNoScaling,1.518,0.3702,0.0,1.5158
1,17,exp_115,0.0,1.083649999985937,0.22,0.6,0.42000000000000004,0.49,1.0,0.79,0.5,0.4,0.5,0.0,1.0,TwoStageMixtureNoScaling,1.5221,0.5105,,
2,17,exp_22,1.0,1.0714049999951385,0.17,0.5,0.43,0.28,0.0,0.8300000000000001,0.6,0.5,0.4,1.0,0.0,TwoStageMixtureNoScaling,1.3124,0.1125,0.0,1.413
3,17,exp_107,0.0,2.1536299999861512,0.4,0.6,0.21000000000000002,0.78,1.0,0.3,0.5,0.4,0.5,0.0,1.0,TwoStageMixtureNoScaling,1.3705,0.8048,1.0,1.1166
4,17,exp_69,0.0,2.1581399999849964,0.51,0.4,0.42000000000000004,0.72,1.0,0.52,0.5,0.6,0.5,0.0,1.0,TwoStageMixtureNoScaling,1.4806,0.6535,1.0,0.8398
5,17,exp_88,0.0,1.0915649999806192,0.38,0.5,0.3,0.5,0.0,0.4,0.4,0.5,0.6,1.0,1.0,TwoStageMixtureNoScaling,1.5219,0.3935,1.0,0.2686
6,17,exp_50,0.0,0.5268050000013318,0.32,0.5,0.6900000000000001,0.49,0.0,0.82,0.4,0.5,0.6,0.0,1.0,TwoStageMixtureNoScaling,1.461,0.6913,1.0,2.7346
7,17,exp_67,0.0,1.6102449999889359,0.51,0.6,0.42000000000000004,0.72,1.0,0.52,0.5,0.4,0.5,0.0,1.0,TwoStageMixtureNoScaling,1.4563,0.6992,1.0,0.4084
8,17,catch_2,1.0,1.076600000000326,0.6,0.5,0.22000000000000003,0.38,0.0,0.4,0.5,0.5,0.5,1.0,0.0,TwoStageMixtureNoScaling,0.7314,0.0056,0.0,1.0767
9,17,exp_27,1.0,1.0648999999975786,0.17,0.6,0.2,0.3,1.0,0.3,0.5,0.4,0.5,0.0,0.0,TwoStageMixtureNoScaling,1.5118,0.3442,0.0,0.703
10,17,catch_9,1.0,1.0628900000010617,0.72,0.5,0.18,0.48,1.0,0.4,0.5,0.5,0.5,1.0,0.0,TwoStageMixtureNoScaling,0.5854,0.0015,0.0,0.3437
11,17,exp_46,1.0,1.0776149999874178,0.48,0.5,0.16999999999999996,0.81,0.0,0.79,0.6,0.5,0.4,1.0,0.0,TwoStageMixtureNoScaling,0.7287,0.0055,0.0,0.2773
12,17,exp_78,0.0,1.1022700000030454,0.2,0.5,0.4,0.8,0.0,0.6799999999999999,0.6,0.5,0.4,1.0,1.0,TwoStageMixtureNoScaling,1.0774,0.9514,1.0,0.6158
13,17,catch_1,1.0,1.0770100000081584,0.41,0.5,0.42000000000000004,0.29,1.0,0.5900000000000001,0.5,0.5,0.5,1.0,0.0,TwoStageMixtureNoScaling,1.1123,0.0466,0.0,1.2592
14,17,exp_108,1.0,1.6164799999969546,0.4,0.5,0.21000000000000002,0.78,0.0,0.3,0.6,0.5,0.4,0.0,0.0,TwoStageMixtureNoScaling,1.4709,0.6731,1.0,1.4037
15,17,exp_59,1.0,1.6200649999955203,0.21,0.6,0.18,0.41,1.0,0.62,0.5,0.4,0.5,0.0,0.0,TwoStageMixtureNoScaling,1.13,0.0505,0.0,2.5284
16,17,exp_58,1.0,1.0758050000004005,0.21,0.5,0.18,0.41,0.0,0.62,0.4,0.5,0.6,0.0,0.0,TwoStageMixtureNoScaling,0.9353,0.02,0.0,0.3242
17,17,catch_3,1.0,1.0730150000017602,0.38,0.5,0.58,0.19,1.0,0.6799999999999999,0.5,0.5,0.5,1.0,0.0,TwoStageMixtureNoScaling,1.1123,0.0467,0.0,1.3028
18,17,exp_35,1.0,1.0834850000101142,0.7,0.6,0.2,0.79,1.0,0.32,0.5,0.4,0.5,0.0,0.0,TwoStageMixtureNoScaling,1.364,0.1424,0.0,2.1718
19,17,exp_94,0.0,0.5485749999934342,0.38,0.5,0.3,0.5,0.0,0.4,0.6,0.5,0.4,1.0,1.0,TwoStageMixtureNoScaling,1.5107,0.34,1.0,3.3112
20,17,exp_3,1.0,1.0806900000025053,0.49,0.6,0.53,0.79,1.0,0.8300000000000001,0.5,0.4,0.5,0.0,0.0,TwoStageMixtureNoScaling,1.459,0.6946,1.0,2.239
21,17,exp_30,1.0,1.6201000000000931,0.17,0.5,0.2,0.3,0.0,0.3,0.6,0.5,0.4,1.0,0.0,TwoStageMixtureNoScaling,1.484,0.2732,1.0,0.8361
