,subject_id,condition,choice,rt,p1,gp,m0,p0,presentation01,m1,gm,last_stage_favours,choice_formatted,model,pred_mean_rt,pred_p_choose_0,pred_choice,pred_rt
0,3,exp_1,0.0,0.3921100000152365,0.49,0.6,0.53,0.79,1.0,0.8300000000000001,0.4,1.0,1.0,TwoStageBetween,0.7615,0.9131,1,0.6055
1,3,exp_116,0.0,0.2629399999277666,0.22,0.5,0.42000000000000004,0.49,0.0,0.79,0.5,0.0,1.0,TwoStageBetween,0.4105,0.9949,1,0.3824
2,3,exp_42,1.0,0.1741199999814853,0.48,0.5,0.16999999999999996,0.81,0.0,0.79,0.5,0.0,0.0,TwoStageBetween,0.7157,0.9328,1,1.5903
3,3,exp_9,0.0,0.3947100000223145,0.29,0.6,0.18,0.7,1.0,0.5,0.4,1.0,1.0,TwoStageBetween,0.4624,0.9905,1,0.2729
4,3,exp_84,0.0,0.334084999980405,0.29,0.5,0.22000000000000003,0.61,0.0,0.8099999999999999,0.5,0.0,1.0,TwoStageBetween,0.4911,0.9871,1,1.0319
5,3,exp_104,0.0,0.4389049999881536,0.4,0.5,0.21000000000000002,0.78,0.0,0.3,0.5,1.0,1.0,TwoStageBetween,0.4627,0.9904,1,0.2707
6,3,exp_96,0.0,0.4377850000746548,0.38,0.5,0.49000000000000005,0.58,0.0,0.6900000000000001,0.5,1.0,1.0,TwoStageBetween,0.6766,0.9468,1,0.496
7,3,catch_8,1.0,0.4038099999306724,0.32,0.5,0.37,0.22,0.0,0.5,0.5,1.0,0.0,TwoStageBetween,0.6318,0.0397,0,0.2692
8,3,exp_91,0.0,0.27983000001404434,0.38,0.6,0.3,0.5,1.0,0.4,0.4,0.0,1.0,TwoStageBetween,0.7154,0.933,1,0.3008
9,3,exp_89,0.0,0.3726050000404939,0.38,0.6,0.3,0.5,1.0,0.4,0.4,1.0,1.0,TwoStageBetween,0.9762,0.7252,1,0.5224
10,3,exp_68,0.0,0.330989999929443,0.51,0.5,0.42000000000000004,0.72,0.0,0.52,0.5,0.0,1.0,TwoStageBetween,0.7503,0.9183,1,1.6064
11,3,exp_29,0.0,0.3715550000779331,0.17,0.4,0.2,0.3,1.0,0.3,0.6,0.0,1.0,TwoStageBetween,0.4569,0.991,1,0.8461
12,3,exp_114,0.0,0.4405649999389425,0.22,0.5,0.42000000000000004,0.49,0.0,0.79,0.5,0.0,1.0,TwoStageBetween,0.4105,0.9949,1,0.3822
13,3,catch_3,1.0,0.4114899999694899,0.38,0.5,0.58,0.19,1.0,0.6799999999999999,0.5,1.0,0.0,TwoStageBetween,0.3537,0.0021,0,0.244
14,3,exp_60,0.0,0.7658550000051036,0.21,0.5,0.18,0.41,0.0,0.62,0.5,0.0,1.0,TwoStageBetween,0.5416,0.9797,1,0.5408
15,3,exp_36,1.0,0.5478799999691546,0.7,0.5,0.2,0.79,0.0,0.32,0.5,0.0,0.0,TwoStageBetween,1.0263,0.6057,1,0.9129
16,3,exp_74,0.0,0.4117949999636039,0.2,0.5,0.4,0.8,0.0,0.6799999999999999,0.5,0.0,1.0,TwoStageBetween,0.249,0.9998,1,0.1001
