,subject_id,condition,choice,rt,p1,gp,m0,p0,presentation01,m1,gm,last_stage_favours,choice_formatted,model,pred_mean_rt,pred_p_choose_0,pred_choice,pred_rt
0,8,exp_69,1.0,1.501,0.51,0.4,0.42000000000000004,0.72,1.0,0.52,0.6,0.0,0.0,TwoStageBetween,0.5529,0.671,1,0.5954
1,8,exp_59,0.0,1.293,0.21,0.6,0.18,0.41,1.0,0.62,0.4,0.0,1.0,TwoStageBetween,0.5755,0.5207,1,0.2388
2,8,catch_5,1.0,0.746,0.49,0.5,0.32,0.4,1.0,0.43,0.5,1.0,0.0,TwoStageBetween,0.4515,0.133,0,0.2099
3,8,exp_96,1.0,1.484,0.38,0.5,0.49000000000000005,0.58,0.0,0.6900000000000001,0.5,1.0,0.0,TwoStageBetween,0.5588,0.6479,1,0.8211
4,8,exp_10,0.0,1.111,0.29,0.5,0.18,0.7,0.0,0.5,0.5,0.0,1.0,TwoStageBetween,0.5674,0.6043,0,1.0867
5,8,exp_40,1.0,0.103,0.48,0.5,0.16999999999999996,0.81,0.0,0.79,0.5,1.0,0.0,TwoStageBetween,0.4556,0.1377,0,1.7986
6,8,exp_60,0.0,0.161,0.21,0.5,0.18,0.41,0.0,0.62,0.5,0.0,1.0,TwoStageBetween,0.5504,0.3202,0,0.2436
7,8,exp_99,0.0,0.598,0.38,0.6,0.49000000000000005,0.58,1.0,0.6900000000000001,0.4,0.0,1.0,TwoStageBetween,0.5233,0.7529,1,0.3039
8,8,exp_90,0.0,0.921,0.38,0.5,0.3,0.5,0.0,0.4,0.5,0.0,1.0,TwoStageBetween,0.5737,0.5524,1,0.9
9,8,exp_102,0.0,1.426,0.38,0.5,0.49000000000000005,0.58,0.0,0.6900000000000001,0.5,1.0,1.0,TwoStageBetween,0.5588,0.6479,0,0.7204
10,8,exp_22,0.0,1.14,0.17,0.5,0.43,0.28,0.0,0.8300000000000001,0.5,1.0,1.0,TwoStageBetween,0.5758,0.5039,1,0.5305
11,8,catch_2,1.0,0.226,0.6,0.5,0.22000000000000003,0.38,0.0,0.4,0.5,1.0,0.0,TwoStageBetween,0.3138,0.0308,0,0.1464
12,8,catch_4,1.0,0.008,0.31,0.5,0.4,0.19,0.0,0.73,0.5,1.0,0.0,TwoStageBetween,0.3048,0.0271,0,0.2008
13,8,exp_82,0.0,0.351,0.29,0.5,0.22000000000000003,0.61,0.0,0.8099999999999999,0.5,0.0,1.0,TwoStageBetween,0.5576,0.3469,0,0.1198
14,8,exp_115,0.0,1.238,0.22,0.6,0.42000000000000004,0.49,1.0,0.79,0.4,0.0,1.0,TwoStageBetween,0.4525,0.8659,1,0.1246
15,8,catch_7,1.0,0.312,0.48,0.5,0.21000000000000002,0.28,1.0,0.52,0.5,1.0,0.0,TwoStageBetween,0.2378,0.0084,0,0.5014
