,subject_id,condition,choice,rt,p1,gp,m0,p0,presentation01,m1,gm,last_stage_favours,choice_formatted,model,pred_mean_rt,pred_p_choose_0,pred_choice,pred_rt
0,13,exp_67,0.0,0.5164500000000698,0.51,0.6,0.42000000000000004,0.72,1.0,0.52,0.4,0.0,1.0,TwoStageBetween,0.8018,0.7399,0,1.2746
1,13,exp_60,1.0,0.9775549999994692,0.21,0.5,0.18,0.41,0.0,0.62,0.5,0.0,0.0,TwoStageBetween,0.8606,0.417,1,0.6316
2,13,exp_26,1.0,0.7811600000004401,0.17,0.5,0.2,0.3,0.0,0.3,0.5,0.0,0.0,TwoStageBetween,0.7906,0.7578,1,1.2218
3,13,exp_3,0.0,0.4123300000001327,0.49,0.6,0.53,0.79,1.0,0.8300000000000001,0.4,0.0,1.0,TwoStageBetween,0.8123,0.7213,1,0.1369
4,13,exp_8,0.0,1.3005599999997066,0.29,0.5,0.18,0.7,0.0,0.5,0.5,1.0,1.0,TwoStageBetween,0.8265,0.6921,1,1.8207
5,13,exp_10,1.0,1.2349299999996437,0.29,0.5,0.18,0.7,0.0,0.5,0.5,0.0,0.0,TwoStageBetween,0.8265,0.6921,1,0.7458
6,13,exp_50,0.0,0.4255400000001537,0.32,0.5,0.6900000000000001,0.49,0.0,0.82,0.5,0.0,1.0,TwoStageBetween,0.7822,0.7702,1,0.4018
7,13,catch_4,1.0,0.39153999999957156,0.31,0.5,0.4,0.19,0.0,0.73,0.5,1.0,0.0,TwoStageBetween,0.4818,0.0307,0,0.2406
8,13,exp_52,0.0,0.652829999999958,0.32,0.5,0.6900000000000001,0.49,0.0,0.82,0.5,0.0,1.0,TwoStageBetween,0.7822,0.7702,1,0.1784
9,13,exp_116,0.0,1.684320000000298,0.22,0.5,0.42000000000000004,0.49,0.0,0.79,0.5,0.0,1.0,TwoStageBetween,0.7559,0.8039,1,0.4007
10,13,exp_35,0.0,0.45874999999976723,0.7,0.6,0.2,0.79,1.0,0.32,0.4,0.0,1.0,TwoStageBetween,0.853,0.3809,1,0.2056
11,13,exp_64,1.0,0.3038150000001769,0.51,0.5,0.42000000000000004,0.72,0.0,0.52,0.5,1.0,0.0,TwoStageBetween,0.8284,0.6876,1,0.8081
12,13,catch_6,1.0,0.22131500000075902,0.59,0.5,0.19,0.23,0.0,0.27,0.5,1.0,0.0,TwoStageBetween,0.3918,0.0119,0,0.1525
13,13,exp_25,0.0,1.0577650000004797,0.17,0.6,0.2,0.3,1.0,0.3,0.4,1.0,1.0,TwoStageBetween,0.8192,0.7077,0,0.9733
14,13,exp_36,1.0,0.5126650000001537,0.7,0.5,0.2,0.79,0.0,0.32,0.5,0.0,0.0,TwoStageBetween,0.8343,0.323,0,1.3292
15,13,exp_9,0.0,2.1479200000003913,0.29,0.6,0.18,0.7,1.0,0.5,0.4,1.0,1.0,TwoStageBetween,0.8475,0.6351,0,0.3369
16,13,exp_101,0.0,0.5247700000000186,0.38,0.4,0.49000000000000005,0.58,1.0,0.6900000000000001,0.6,0.0,1.0,TwoStageBetween,0.8055,0.7335,0,0.447
17,13,exp_84,1.0,0.8654399999995949,0.29,0.5,0.22000000000000003,0.61,0.0,0.8099999999999999,0.5,0.0,0.0,TwoStageBetween,0.8652,0.4518,0,0.6177
18,13,exp_27,1.0,1.6285200000002518,0.17,0.6,0.2,0.3,1.0,0.3,0.4,0.0,0.0,TwoStageBetween,0.7577,0.8018,1,3.1727
19,13,exp_73,0.0,0.3522849999999162,0.2,0.6,0.4,0.8,1.0,0.6799999999999999,0.4,1.0,1.0,TwoStageBetween,0.515,0.9593,1,0.3414
20,13,exp_89,0.0,1.348765000000596,0.38,0.6,0.3,0.5,1.0,0.4,0.4,1.0,1.0,TwoStageBetween,0.867,0.5171,1,1.4981
21,13,exp_69,0.0,0.2269150000002701,0.51,0.4,0.42000000000000004,0.72,1.0,0.52,0.6,0.0,1.0,TwoStageBetween,0.8018,0.7399,1,1.1107
22,13,exp_102,0.0,0.23791499999968801,0.38,0.5,0.49000000000000005,0.58,0.0,0.6900000000000001,0.5,1.0,1.0,TwoStageBetween,0.8315,0.6805,1,0.7212
23,13,exp_53,0.0,0.2363199999999488,0.32,0.4,0.6900000000000001,0.49,1.0,0.82,0.6,0.0,1.0,TwoStageBetween,0.7483,0.8126,0,1.0341
