,subject_id,condition,choice,rt,p1,gp,last_stage_favours,p0,gm,m1,presentation01,m0,choice_formatted,model,pred_mean_rt,pred_p_choose_0,pred_choice,pred_rt
0,49,exp_45,1.0,0.8972000000476837,0.48,0.4,0.0,0.81,0.6,0.79,1.0,0.16999999999999996,0.0,TwoStageBetween,1.1554,0.9027,1,0.8284
1,49,exp_82,1.0,0.4972000000476837,0.29,0.5,0.0,0.61,0.5,0.8099999999999999,0.0,0.22000000000000003,0.0,TwoStageBetween,0.6444,0.9955,1,0.8999
2,49,exp_26,0.0,0.6475,0.17,0.5,0.0,0.3,0.5,0.3,0.0,0.2,1.0,TwoStageBetween,0.6754,0.9942,1,0.5317
3,49,exp_101,0.0,0.5968999999761582,0.38,0.4,0.0,0.58,0.6,0.6900000000000001,1.0,0.49000000000000005,1.0,TwoStageBetween,0.9688,0.9613,1,1.4263
4,49,exp_91,0.0,0.3955,0.38,0.6,0.0,0.5,0.4,0.4,1.0,0.3,1.0,TwoStageBetween,1.1971,0.8818,1,0.6918
5,49,catch_8,1.0,0.5816999999284744,0.32,0.5,1.0,0.22,0.5,0.5,0.0,0.37,0.0,TwoStageBetween,0.7591,0.0106,0,0.501
6,49,exp_67,0.0,0.715,0.51,0.6,0.0,0.72,0.4,0.52,1.0,0.42000000000000004,1.0,TwoStageBetween,1.0132,0.9513,1,1.3214
7,49,exp_25,0.0,1.084399999976158,0.17,0.6,1.0,0.3,0.4,0.3,1.0,0.2,1.0,TwoStageBetween,0.6147,0.9966,1,0.3609
8,49,catch_9,1.0,0.6178000000715256,0.72,0.5,1.0,0.48,0.5,0.4,1.0,0.18,0.0,TwoStageBetween,0.6416,0.0043,0,0.3338
9,49,exp_36,1.0,0.8341000000238419,0.7,0.5,0.0,0.79,0.5,0.32,0.0,0.2,0.0,TwoStageBetween,1.4444,0.5567,1,0.9675
10,49,exp_98,0.0,0.4045,0.38,0.5,0.0,0.58,0.5,0.6900000000000001,0.0,0.49000000000000005,1.0,TwoStageBetween,0.8781,0.9766,1,0.5856
11,49,exp_96,0.0,0.6081000000238419,0.38,0.5,1.0,0.58,0.5,0.6900000000000001,0.0,0.49000000000000005,1.0,TwoStageBetween,0.8781,0.9766,1,0.5968
12,49,exp_57,0.0,0.7178000000715256,0.21,0.6,1.0,0.41,0.4,0.62,1.0,0.18,1.0,TwoStageBetween,0.6437,0.9956,1,1.5477
13,49,exp_22,0.0,1.619,0.17,0.5,1.0,0.28,0.5,0.8300000000000001,0.0,0.43,1.0,TwoStageBetween,0.8418,0.9811,1,0.9787
14,49,exp_60,0.0,0.5166000000238419,0.21,0.5,0.0,0.41,0.5,0.62,0.0,0.18,1.0,TwoStageBetween,0.7214,0.9916,1,0.7728
15,49,exp_27,0.0,0.5637999999523163,0.17,0.6,0.0,0.3,0.4,0.3,1.0,0.2,1.0,TwoStageBetween,0.6803,0.9939,1,0.2777
16,49,exp_64,0.0,0.5928000000715256,0.51,0.5,1.0,0.72,0.5,0.52,0.0,0.42000000000000004,1.0,TwoStageBetween,0.9855,0.9578,1,1.9533
17,49,exp_42,1.0,0.7972999999523163,0.48,0.5,0.0,0.81,0.5,0.79,0.0,0.16999999999999996,0.0,TwoStageBetween,1.0347,0.9457,1,0.7305
18,49,exp_8,0.0,0.4578999999761581,0.29,0.5,1.0,0.7,0.5,0.5,0.0,0.18,1.0,TwoStageBetween,0.498,0.9991,1,1.229
19,49,catch_5,1.0,0.7363999999761581,0.49,0.5,1.0,0.4,0.5,0.43,1.0,0.32,0.0,TwoStageBetween,1.1518,0.0793,0,0.4944
20,49,exp_99,0.0,0.6287999999523163,0.38,0.6,0.0,0.58,0.4,0.6900000000000001,1.0,0.49000000000000005,1.0,TwoStageBetween,0.896,0.974,1,0.5856
21,49,catch_2,1.0,0.8483000000715256,0.6,0.5,1.0,0.38,0.5,0.4,0.0,0.22000000000000003,0.0,TwoStageBetween,0.5924,0.0027,0,0.3639
22,49,exp_88,0.0,1.1136999999284745,0.38,0.5,1.0,0.5,0.5,0.4,0.0,0.3,1.0,TwoStageBetween,1.165,0.8983,1,0.6219
23,49,exp_116,0.0,0.49410000002384186,0.22,0.5,0.0,0.49,0.5,0.79,0.0,0.42000000000000004,1.0,TwoStageBetween,0.5046,0.9991,1,0.1625
24,49,catch_0,1.0,0.4202000000476837,0.72,0.5,1.0,0.19,0.5,0.3,0.0,0.2,0.0,TwoStageBetween,0.2663,0.0,0,0.2015
25,49,exp_102,0.0,0.6001000000238419,0.38,0.5,1.0,0.58,0.5,0.6900000000000001,0.0,0.49000000000000005,1.0,TwoStageBetween,0.8781,0.9766,1,0.6254
26,49,exp_1,0.0,0.46280000007152555,0.49,0.6,1.0,0.79,0.4,0.8300000000000001,1.0,0.53,1.0,TwoStageBetween,0.7381,0.9905,1,0.3606
