,subject_id,condition,choice,rt,p1,gp,last_stage_favours,p0,gm,m1,presentation01,m0,choice_formatted,model,pred_mean_rt,pred_p_choose_0,pred_choice,pred_rt
0,107,exp_35,1.0,1.8883999999910595,0.7,0.6,0.0,0.79,0.4,0.32,1.0,0.2,0.0,TwoStageBetween,1.0801,0.5352,1,0.5717
1,107,exp_29,1.0,0.8385999999940396,0.17,0.4,0.0,0.3,0.6,0.3,1.0,0.2,0.0,TwoStageBetween,1.0175,0.7233,1,1.4109
2,107,exp_10,0.0,1.7182999999970199,0.29,0.5,0.0,0.7,0.5,0.5,0.0,0.18,1.0,TwoStageBetween,1.0097,0.7357,1,0.3374
3,107,exp_30,1.0,0.5897999999970198,0.17,0.5,1.0,0.3,0.5,0.3,0.0,0.2,0.0,TwoStageBetween,1.0379,0.6857,0,0.3476
4,107,catch_0,1.0,0.8153000000119209,0.72,0.5,1.0,0.19,0.5,0.3,0.0,0.2,0.0,TwoStageBetween,0.8033,0.0881,0,0.3266
5,107,exp_53,1.0,0.6982000000029802,0.32,0.4,0.0,0.49,0.6,0.82,1.0,0.6900000000000001,0.0,TwoStageBetween,1.0331,0.6955,1,1.7696
6,107,exp_37,1.0,1.3770999999940394,0.7,0.4,0.0,0.79,0.6,0.32,1.0,0.2,0.0,TwoStageBetween,1.0801,0.5352,0,0.9483
7,107,exp_107,0.0,0.6415,0.4,0.6,0.0,0.78,0.4,0.3,1.0,0.21000000000000002,1.0,TwoStageBetween,0.9927,0.7599,1,1.1577
8,107,exp_82,1.0,0.5967999999970197,0.29,0.5,0.0,0.61,0.5,0.8099999999999999,0.0,0.22000000000000003,0.0,TwoStageBetween,1.0451,0.6701,1,0.3384
9,107,exp_99,1.0,0.9695999999940397,0.38,0.6,0.0,0.58,0.4,0.6900000000000001,1.0,0.49000000000000005,0.0,TwoStageBetween,1.0421,0.6769,1,3.843
10,107,exp_43,1.0,0.97,0.48,0.6,0.0,0.81,0.4,0.79,1.0,0.16999999999999996,0.0,TwoStageBetween,1.0659,0.6114,0,0.8147
11,107,catch_6,0.0,2.9265,0.59,0.5,1.0,0.23,0.5,0.27,0.0,0.19,1.0,TwoStageBetween,0.8999,0.1433,0,2.2905
12,107,exp_90,1.0,0.729,0.38,0.5,0.0,0.5,0.5,0.4,0.0,0.3,0.0,TwoStageBetween,1.0734,0.58,0,0.1398
13,107,exp_1,1.0,0.7453999999910593,0.49,0.6,1.0,0.79,0.4,0.8300000000000001,1.0,0.53,0.0,TwoStageBetween,1.0676,0.605,1,1.8564
14,107,exp_57,1.0,0.6662000000029802,0.21,0.6,1.0,0.41,0.4,0.62,1.0,0.18,0.0,TwoStageBetween,1.0673,0.6061,1,1.5815
15,107,exp_78,0.0,1.1079000000059605,0.2,0.5,1.0,0.8,0.5,0.6799999999999999,0.0,0.4,1.0,TwoStageBetween,0.8703,0.8728,0,0.5926
16,107,exp_40,1.0,1.3125,0.48,0.5,1.0,0.81,0.5,0.79,0.0,0.16999999999999996,0.0,TwoStageBetween,1.0756,0.5682,0,1.0674
17,107,exp_42,0.0,0.6216999999880791,0.48,0.5,0.0,0.81,0.5,0.79,0.0,0.16999999999999996,1.0,TwoStageBetween,1.0756,0.5682,1,0.2035
18,107,exp_3,1.0,0.6324000000059604,0.49,0.6,0.0,0.79,0.4,0.8300000000000001,1.0,0.53,0.0,TwoStageBetween,1.0374,0.6869,1,0.4199
19,107,catch_7,1.0,0.6010999999940395,0.48,0.5,1.0,0.28,0.5,0.52,1.0,0.21000000000000002,0.0,TwoStageBetween,0.9371,0.1725,1,2.8453
20,107,exp_50,1.0,0.9705,0.32,0.5,0.0,0.49,0.5,0.82,0.0,0.6900000000000001,0.0,TwoStageBetween,1.0509,0.6561,0,1.0865
21,107,exp_59,0.0,1.5477999999970198,0.21,0.6,0.0,0.41,0.4,0.62,1.0,0.18,1.0,TwoStageBetween,1.0369,0.6878,1,1.159
22,107,exp_73,1.0,1.3426000000089406,0.2,0.6,1.0,0.8,0.4,0.6799999999999999,1.0,0.4,0.0,TwoStageBetween,0.9015,0.8509,1,0.7012
23,107,exp_102,1.0,0.9747000000029802,0.38,0.5,1.0,0.58,0.5,0.6900000000000001,0.0,0.49000000000000005,0.0,TwoStageBetween,1.0582,0.6364,1,1.3575
24,107,exp_104,1.0,0.8689000000059605,0.4,0.5,1.0,0.78,0.5,0.3,0.0,0.21000000000000002,0.0,TwoStageBetween,1.0164,0.7252,1,0.2913
25,107,exp_19,1.0,2.787,0.17,0.6,0.0,0.28,0.4,0.8300000000000001,1.0,0.43,0.0,TwoStageBetween,1.0432,0.6745,1,0.5494
26,107,exp_52,0.0,0.6593999999910592,0.32,0.5,0.0,0.49,0.5,0.82,0.0,0.6900000000000001,1.0,TwoStageBetween,1.0509,0.6561,1,0.4329
