,subject_id,condition,choice,rt,p0,p1,gm,gp,m1,m0,presentation01,last_stage_favours,choice_formatted,model,pred_mean_rt,pred_p_choose_0,pred_choice,pred_rt
0,14-alternatives,exp_84,1.0,0.964635000000475,0.61,0.29,0.5,0.5,0.8099999999999999,0.22000000000000003,0.0,0.0,0.0,TwoStageBetween,1.0455,0.0804,0.0,1.3872
1,14-alternatives,exp_30,0.0,1.6767650000003633,0.3,0.17,0.5,0.5,0.3,0.2,0.0,1.0,1.0,TwoStageBetween,1.3347,0.5998,1.0,0.4897
2,14-alternatives,exp_104,0.0,1.6641300000001211,0.78,0.4,0.5,0.5,0.3,0.21000000000000002,0.0,1.0,1.0,TwoStageBetween,1.2677,0.738,1.0,3.4899
3,14-alternatives,exp_82,1.0,2.207809999999823,0.61,0.29,0.5,0.5,0.8099999999999999,0.22000000000000003,0.0,0.0,0.0,TwoStageBetween,1.0455,0.0804,0.0,1.4563
4,14-alternatives,exp_36,1.0,1.2343349999999627,0.79,0.7,0.5,0.5,0.32,0.2,0.0,0.0,0.0,TwoStageBetween,1.1801,0.1472,0.0,1.7995
5,14-alternatives,exp_52,0.0,1.7842800000000278,0.49,0.32,0.5,0.5,0.82,0.6900000000000001,0.0,0.0,1.0,TwoStageBetween,1.2843,0.713,,
6,14-alternatives,exp_60,1.0,0.6989950000003445,0.41,0.21,0.5,0.5,0.62,0.18,0.0,0.0,0.0,TwoStageBetween,1.0306,0.0752,0.0,1.6284
7,14-alternatives,exp_68,0.0,1.1668899999998976,0.72,0.51,0.5,0.5,0.52,0.42000000000000004,0.0,0.0,1.0,TwoStageBetween,1.3372,0.5912,1.0,0.8902
8,14-alternatives,catch_2,1.0,0.6933050000001676,0.38,0.6,0.5,0.5,0.4,0.22000000000000003,0.0,1.0,0.0,TwoStageBetween,0.6288,0.0074,0.0,0.5306
9,14-alternatives,exp_88,0.0,1.1024950000001117,0.5,0.38,0.5,0.5,0.4,0.3,0.0,1.0,1.0,TwoStageBetween,1.3512,0.4325,0.0,0.3409
10,14-alternatives,catch_6,1.0,0.8223450000002049,0.23,0.59,0.5,0.5,0.27,0.19,0.0,1.0,0.0,TwoStageBetween,0.5453,0.0033,0.0,0.6296
11,14-alternatives,exp_8,1.0,1.2438050000001677,0.7,0.29,0.5,0.5,0.5,0.18,0.0,1.0,0.0,TwoStageBetween,1.3042,0.2796,1.0,2.606
12,14-alternatives,exp_102,1.0,1.2411700000003911,0.58,0.38,0.5,0.5,0.6900000000000001,0.49000000000000005,0.0,1.0,0.0,TwoStageBetween,1.35,0.5248,0.0,0.5925
13,14-alternatives,exp_58,1.0,0.5509050000002608,0.41,0.21,0.5,0.5,0.62,0.18,0.0,0.0,0.0,TwoStageBetween,1.0306,0.0752,0.0,2.5099
14,14-alternatives,exp_50,0.0,0.8345050000003539,0.49,0.32,0.5,0.5,0.82,0.6900000000000001,0.0,0.0,1.0,TwoStageBetween,1.2843,0.713,0.0,0.9093
15,14-alternatives,exp_26,0.0,0.6885850000001956,0.3,0.17,0.5,0.5,0.3,0.2,0.0,0.0,1.0,TwoStageBetween,1.3347,0.5998,0.0,0.226
