,subject_id,condition,choice,rt,last_stage_favours,gm,m0,g1,gp,m1,p1,g0,p0,presentation01,choice_formatted,model,pred_mean_rt,pred_p_choose_0,pred_choice,pred_rt
0,23,catch_9,1.0,0.37759999990463256,1.0,0.5,0.18,0.5,0.5,0.4,0.72,0.5,0.48,1.0,0.0,TwoStageMixtureNoScaling,0.299,0.0066,0,0.1807
1,23,exp_74,0.0,0.3350999999046326,0.0,0.5,0.4,0.4,0.5,0.6799999999999999,0.2,0.6,0.8,0.0,1.0,TwoStageMixtureNoScaling,0.21,0.9993,1,0.2646
2,23,exp_108,0.0,0.4968999998569488,0.0,0.5,0.21000000000000002,0.6,0.5,0.3,0.4,0.4,0.78,0.0,1.0,TwoStageMixtureNoScaling,0.4604,0.9518,1,0.3039
3,23,exp_15,1.0,0.6237999999523163,1.0,0.6,0.18,0.5,0.4,0.5,0.29,0.5,0.7,1.0,0.0,TwoStageMixtureNoScaling,0.5665,0.89,1,0.4342
4,23,exp_69,0.0,0.4820999999046326,0.0,0.6,0.42000000000000004,0.5,0.4,0.52,0.51,0.5,0.72,1.0,1.0,TwoStageMixtureNoScaling,0.5763,0.8823,1,0.3096
5,23,catch_3,1.0,0.4772999999523163,1.0,0.5,0.58,0.5,0.5,0.6799999999999999,0.38,0.5,0.19,1.0,0.0,TwoStageMixtureNoScaling,0.3609,0.0168,0,0.277
6,23,exp_29,0.0,0.5027999999523163,0.0,0.6,0.2,0.5,0.4,0.3,0.17,0.5,0.3,1.0,1.0,TwoStageMixtureNoScaling,0.6437,0.815,0,0.4282
7,23,exp_42,1.0,1.1806000001430512,0.0,0.5,0.16999999999999996,0.4,0.5,0.79,0.48,0.6,0.81,0.0,0.0,TwoStageMixtureNoScaling,0.6114,0.149,1,0.1823
8,23,catch_8,1.0,0.43769999980926516,1.0,0.5,0.37,0.5,0.5,0.5,0.32,0.5,0.22,0.0,0.0,TwoStageMixtureNoScaling,0.5414,0.0919,0,0.248
9,23,exp_59,1.0,1.0023000001907347,0.0,0.4,0.18,0.5,0.6,0.62,0.21,0.5,0.41,1.0,0.0,TwoStageMixtureNoScaling,0.7166,0.69,0,0.6139
10,23,exp_107,0.0,0.41440000009536737,0.0,0.4,0.21000000000000002,0.5,0.6,0.3,0.4,0.5,0.78,1.0,1.0,TwoStageMixtureNoScaling,0.4652,0.9497,1,0.276
11,23,exp_10,0.0,0.5025,0.0,0.5,0.18,0.4,0.5,0.5,0.29,0.6,0.7,0.0,1.0,TwoStageMixtureNoScaling,0.536,0.9116,1,0.0946
12,23,exp_37,1.0,0.41339999985694886,0.0,0.6,0.2,0.5,0.4,0.32,0.7,0.5,0.79,1.0,0.0,TwoStageMixtureNoScaling,0.7238,0.3279,1,0.351
13,23,exp_1,0.0,0.49,1.0,0.4,0.53,0.5,0.6,0.8300000000000001,0.49,0.5,0.79,1.0,1.0,TwoStageMixtureNoScaling,0.5415,0.908,1,0.4966
14,23,exp_60,1.0,0.6942000000476837,0.0,0.5,0.18,0.6,0.5,0.62,0.21,0.4,0.41,0.0,0.0,TwoStageMixtureNoScaling,0.7106,0.7045,1,0.6012
15,23,exp_68,1.0,0.40890000009536737,0.0,0.5,0.42000000000000004,0.6,0.5,0.52,0.51,0.4,0.72,0.0,0.0,TwoStageMixtureNoScaling,0.5739,0.8842,1,0.5931
16,23,catch_6,1.0,0.3582000000476837,1.0,0.5,0.19,0.5,0.5,0.27,0.59,0.5,0.23,0.0,0.0,TwoStageMixtureNoScaling,0.3184,0.0091,0,0.1772
17,23,exp_117,0.0,0.42759999990463254,0.0,0.6,0.42000000000000004,0.5,0.4,0.79,0.22,0.5,0.49,1.0,1.0,TwoStageMixtureNoScaling,0.4641,0.9502,1,0.6886
18,23,exp_35,1.0,0.37719999980926516,0.0,0.4,0.2,0.5,0.6,0.32,0.7,0.5,0.79,1.0,0.0,TwoStageMixtureNoScaling,0.7238,0.3279,1,3.145
19,23,exp_116,0.0,0.3365,0.0,0.5,0.42000000000000004,0.6,0.5,0.79,0.22,0.4,0.49,0.0,1.0,TwoStageMixtureNoScaling,0.4578,0.9529,1,0.5668
