,subject_id,condition,choice,rt,last_stage_favours,gm,m0,g1,gp,m1,p1,g0,p0,presentation01,choice_formatted,model,pred_mean_rt,pred_p_choose_0,pred_choice,pred_rt
0,87,exp_104,1.0,1.8442999999821184,1.0,0.5,0.21000000000000002,0.4,0.5,0.3,0.4,0.6,0.78,0.0,0.0,TwoStageMixtureNoScaling,0.4357,0.7729,1,0.142
1,87,exp_91,1.0,0.2582000000178814,0.0,0.4,0.3,0.5,0.6,0.4,0.38,0.5,0.5,1.0,0.0,TwoStageMixtureNoScaling,0.4429,0.7553,1,1.0097
2,87,exp_40,1.0,0.2072999999821186,1.0,0.5,0.16999999999999996,0.4,0.5,0.79,0.48,0.6,0.81,0.0,0.0,TwoStageMixtureNoScaling,0.3817,0.1314,0,0.1347
3,87,exp_22,1.0,0.2561999999880791,1.0,0.5,0.43,0.6,0.5,0.8300000000000001,0.17,0.4,0.28,0.0,0.0,TwoStageMixtureNoScaling,0.4877,0.5386,1,0.8341
4,87,exp_46,1.0,0.21909999999403956,1.0,0.5,0.16999999999999996,0.6,0.5,0.79,0.48,0.4,0.81,0.0,0.0,TwoStageMixtureNoScaling,0.3817,0.1314,1,0.159
5,87,catch_6,1.0,0.5341999999880791,1.0,0.5,0.19,0.5,0.5,0.27,0.59,0.5,0.23,0.0,0.0,TwoStageMixtureNoScaling,0.2933,0.0463,0,0.2652
6,87,exp_10,0.0,0.2756999999880791,0.0,0.5,0.18,0.4,0.5,0.5,0.29,0.6,0.7,0.0,1.0,TwoStageMixtureNoScaling,0.4157,0.8144,0,0.109
7,87,exp_94,0.0,0.471,1.0,0.5,0.3,0.6,0.5,0.4,0.38,0.4,0.5,0.0,1.0,TwoStageMixtureNoScaling,0.4885,0.5138,1,1.3923
8,87,exp_25,0.0,0.3847999999821186,1.0,0.4,0.2,0.5,0.6,0.3,0.17,0.5,0.3,1.0,1.0,TwoStageMixtureNoScaling,0.4417,0.7583,1,0.3035
9,87,exp_114,0.0,0.43509999999403953,0.0,0.5,0.42000000000000004,0.4,0.5,0.79,0.22,0.6,0.49,0.0,1.0,TwoStageMixtureNoScaling,0.375,0.8774,1,0.2031
