,subject_id,condition,choice,rt,gp,g1,p1,g0,last_stage_favours,m1,m0,gm,p0,presentation01,choice_formatted,model,pred_mean_rt,pred_p_choose_0,pred_choice,pred_rt
0,7-TwoStageBetween,exp_117,0.0,0.1025,0.4,0.5,0.22,0.5,0.0,0.79,0.42,0.6,0.49,1.0,0.0,TwoStageMixtureNoScaling,0.549,0.6409,1,0.9091
1,7-TwoStageBetween,exp_88,0.0,0.2365,0.5,0.4,0.38,0.6,1.0,0.4,0.3,0.5,0.5,0.0,0.0,TwoStageMixtureNoScaling,0.5527,0.6227,0,0.2855
2,7-TwoStageBetween,catch_9,0.0,0.4738,0.5,0.5,0.72,0.5,1.0,0.4,0.18,0.5,0.48,1.0,0.0,TwoStageMixtureNoScaling,0.5436,0.3364,1,1.1971
3,7-TwoStageBetween,exp_15,1.0,0.5946,0.4,0.5,0.29,0.5,1.0,0.5,0.18,0.6,0.7,1.0,1.0,TwoStageMixtureNoScaling,0.5241,0.7248,1,0.3927
4,7-TwoStageBetween,exp_52,1.0,0.2998,0.5,0.6,0.32,0.4,0.0,0.82,0.6900000000000001,0.5,0.49,0.0,1.0,TwoStageMixtureNoScaling,0.5602,0.572,0,1.1474
5,7-TwoStageBetween,exp_60,1.0,0.9244,0.5,0.6,0.21,0.4,0.0,0.62,0.18,0.5,0.41,0.0,1.0,TwoStageMixtureNoScaling,0.5637,0.5228,1,1.4986
6,7-TwoStageBetween,exp_108,0.0,0.5973,0.5,0.6,0.4,0.4,0.0,0.3,0.21,0.5,0.78,0.0,0.0,TwoStageMixtureNoScaling,0.5494,0.6392,1,0.4895
7,7-TwoStageBetween,exp_19,0.0,0.457,0.6,0.5,0.17,0.5,0.0,0.8300000000000001,0.43,0.4,0.28,1.0,0.0,TwoStageMixtureNoScaling,0.5629,0.5402,1,0.1973
8,7-TwoStageBetween,catch_6,0.0,0.531,0.5,0.5,0.59,0.5,1.0,0.27,0.19,0.5,0.23,0.0,0.0,TwoStageMixtureNoScaling,0.4916,0.2049,0,0.3053
9,7-TwoStageBetween,catch_1,0.0,0.1477,0.5,0.5,0.41,0.5,1.0,0.5900000000000001,0.42,0.5,0.29,1.0,0.0,TwoStageMixtureNoScaling,0.5604,0.4299,1,0.3106
10,7-TwoStageBetween,exp_36,1.0,2.3038,0.5,0.6,0.7,0.4,0.0,0.32,0.2,0.5,0.79,0.0,1.0,TwoStageMixtureNoScaling,0.557,0.4025,0,0.2516
11,7-TwoStageBetween,exp_27,1.0,0.4416,0.6,0.5,0.17,0.5,0.0,0.3,0.2,0.4,0.3,1.0,1.0,TwoStageMixtureNoScaling,0.5623,0.5498,1,1.4846
12,7-TwoStageBetween,exp_1,1.0,0.5001,0.6,0.5,0.49,0.5,1.0,0.8300000000000001,0.53,0.4,0.79,1.0,1.0,TwoStageMixtureNoScaling,0.5336,0.6978,1,1.1305
13,7-TwoStageBetween,exp_102,0.0,0.4822,0.5,0.6,0.38,0.4,1.0,0.6900000000000001,0.49,0.5,0.58,0.0,0.0,TwoStageMixtureNoScaling,0.5573,0.5948,1,0.431
14,7-TwoStageBetween,catch_4,0.0,0.5884,0.5,0.5,0.31,0.5,1.0,0.73,0.4,0.5,0.19,0.0,0.0,TwoStageMixtureNoScaling,0.5341,0.3036,0,0.0999
15,7-TwoStageBetween,exp_94,1.0,0.3835,0.5,0.6,0.38,0.4,1.0,0.4,0.3,0.5,0.5,0.0,1.0,TwoStageMixtureNoScaling,0.5624,0.5475,0,0.1598
16,7-TwoStageBetween,exp_68,1.0,1.0161,0.5,0.6,0.51,0.4,0.0,0.52,0.42,0.5,0.72,0.0,1.0,TwoStageMixtureNoScaling,0.563,0.538,1,0.4123
17,7-TwoStageBetween,exp_3,1.0,0.6467,0.6,0.5,0.49,0.5,0.0,0.8300000000000001,0.53,0.4,0.79,1.0,1.0,TwoStageMixtureNoScaling,0.5451,0.6577,1,0.5788
18,7-TwoStageBetween,exp_53,1.0,0.3893,0.4,0.5,0.32,0.5,0.0,0.82,0.6900000000000001,0.6,0.49,1.0,1.0,TwoStageMixtureNoScaling,0.5577,0.5924,1,0.7774
19,7-TwoStageBetween,exp_80,1.0,0.8995,0.5,0.4,0.29,0.6,1.0,0.8099999999999999,0.22,0.5,0.61,0.0,1.0,TwoStageMixtureNoScaling,0.5423,0.6685,1,0.5865
20,7-TwoStageBetween,exp_26,1.0,0.1756,0.5,0.4,0.17,0.6,0.0,0.3,0.2,0.5,0.3,0.0,1.0,TwoStageMixtureNoScaling,0.5539,0.6161,0,0.1846
21,7-TwoStageBetween,exp_67,0.0,0.1398,0.6,0.5,0.51,0.5,0.0,0.52,0.42,0.4,0.72,1.0,0.0,TwoStageMixtureNoScaling,0.5556,0.6061,1,0.1638
22,7-TwoStageBetween,exp_114,0.0,1.1831,0.5,0.4,0.22,0.6,0.0,0.79,0.42,0.5,0.49,0.0,0.0,TwoStageMixtureNoScaling,0.536,0.6904,0,0.4676
23,7-TwoStageBetween,exp_25,1.0,0.1537,0.6,0.5,0.17,0.5,1.0,0.3,0.2,0.4,0.3,1.0,1.0,TwoStageMixtureNoScaling,0.5574,0.5947,0,0.1426
24,7-TwoStageBetween,exp_59,0.0,1.3407,0.6,0.5,0.21,0.5,0.0,0.62,0.18,0.4,0.41,1.0,0.0,TwoStageMixtureNoScaling,0.5601,0.573,1,0.8546
