,subject_id,condition,choice,rt,m1,presentation01,last_stage_favours,gp,p0,gm,g1,p1,m0,g0,choice_formatted,model,pred_mean_rt,pred_p_choose_0,pred_choice,pred_rt
0,16-TwoStageMixtureNoScaling,exp_53,1.0,2.0008,0.82,1.0,0.0,0.4,0.49,0.6,0.5,0.32,0.6900000000000001,0.5,1.0,TwoStageMixtureNoScaling,0.7876,0.6587,1,0.2936
1,16-TwoStageMixtureNoScaling,exp_67,1.0,1.3161,0.52,1.0,0.0,0.6,0.72,0.4,0.5,0.51,0.42,0.5,1.0,TwoStageMixtureNoScaling,0.7982,0.6234,0,0.6528
2,16-TwoStageMixtureNoScaling,exp_101,1.0,0.6791,0.6900000000000001,1.0,0.0,0.4,0.58,0.6,0.5,0.38,0.49,0.5,1.0,TwoStageMixtureNoScaling,0.8077,0.5778,0,0.6713
3,16-TwoStageMixtureNoScaling,exp_45,0.0,0.1583,0.79,1.0,0.0,0.4,0.81,0.6,0.5,0.48,0.1699999999999999,0.5,0.0,TwoStageMixtureNoScaling,0.7609,0.2762,0,0.7194
4,16-TwoStageMixtureNoScaling,exp_82,0.0,0.7296,0.8099999999999999,0.0,0.0,0.5,0.61,0.5,0.4,0.29,0.22,0.6,0.0,TwoStageMixtureNoScaling,0.8127,0.4627,1,0.198
5,16-TwoStageMixtureNoScaling,exp_10,1.0,0.7212,0.5,0.0,0.0,0.5,0.7,0.5,0.4,0.29,0.18,0.6,1.0,TwoStageMixtureNoScaling,0.7782,0.6841,0,0.9834
6,16-TwoStageMixtureNoScaling,exp_117,0.0,0.6718,0.79,1.0,0.0,0.4,0.49,0.6,0.5,0.22,0.42,0.5,0.0,TwoStageMixtureNoScaling,0.7923,0.6441,1,0.8387
7,16-TwoStageMixtureNoScaling,exp_50,1.0,0.5814,0.82,0.0,0.0,0.5,0.49,0.5,0.4,0.32,0.6900000000000001,0.6,1.0,TwoStageMixtureNoScaling,0.7765,0.6881,1,0.1813
8,16-TwoStageMixtureNoScaling,catch_9,0.0,1.9374,0.4,1.0,1.0,0.5,0.48,0.5,0.5,0.72,0.18,0.5,0.0,TwoStageMixtureNoScaling,0.7459,0.2493,0,1.8401
9,16-TwoStageMixtureNoScaling,exp_52,0.0,1.0918,0.82,0.0,0.0,0.5,0.49,0.5,0.6,0.32,0.6900000000000001,0.4,0.0,TwoStageMixtureNoScaling,0.8062,0.5866,1,0.1051
10,16-TwoStageMixtureNoScaling,exp_42,1.0,0.2106,0.79,0.0,0.0,0.5,0.81,0.5,0.4,0.48,0.1699999999999999,0.6,1.0,TwoStageMixtureNoScaling,0.7594,0.2732,0,1.4038
11,16-TwoStageMixtureNoScaling,exp_1,0.0,0.6847,0.8300000000000001,1.0,1.0,0.6,0.79,0.4,0.5,0.49,0.53,0.5,0.0,TwoStageMixtureNoScaling,0.7685,0.2915,0,0.7419
12,16-TwoStageMixtureNoScaling,exp_107,0.0,0.1124,0.3,1.0,0.0,0.6,0.78,0.4,0.5,0.4,0.21,0.5,0.0,TwoStageMixtureNoScaling,0.7612,0.7215,1,0.9927
13,16-TwoStageMixtureNoScaling,exp_40,0.0,0.7947,0.79,0.0,1.0,0.5,0.81,0.5,0.4,0.48,0.1699999999999999,0.6,0.0,TwoStageMixtureNoScaling,0.6969,0.1827,0,0.7234
14,16-TwoStageMixtureNoScaling,exp_80,1.0,0.4288,0.8099999999999999,0.0,1.0,0.5,0.61,0.5,0.4,0.29,0.22,0.6,1.0,TwoStageMixtureNoScaling,0.7876,0.3389,1,1.8588
15,16-TwoStageMixtureNoScaling,exp_58,1.0,0.9085,0.62,0.0,0.0,0.5,0.41,0.5,0.4,0.21,0.18,0.6,1.0,TwoStageMixtureNoScaling,0.7991,0.6196,1,0.2503
16,16-TwoStageMixtureNoScaling,catch_5,0.0,0.8815,0.43,1.0,1.0,0.5,0.4,0.5,0.5,0.49,0.32,0.5,0.0,TwoStageMixtureNoScaling,0.7839,0.3284,0,1.532
17,16-TwoStageMixtureNoScaling,exp_99,0.0,0.792,0.6900000000000001,1.0,0.0,0.6,0.58,0.4,0.5,0.38,0.49,0.5,0.0,TwoStageMixtureNoScaling,0.8077,0.5778,1,1.1412
18,16-TwoStageMixtureNoScaling,catch_2,0.0,0.347,0.4,0.0,1.0,0.5,0.38,0.5,0.5,0.6,0.22,0.5,0.0,TwoStageMixtureNoScaling,0.7572,0.2692,0,0.5846
19,16-TwoStageMixtureNoScaling,exp_78,1.0,0.8576,0.6799999999999999,0.0,1.0,0.5,0.8,0.5,0.6,0.2,0.4,0.4,1.0,TwoStageMixtureNoScaling,0.7824,0.6732,1,2.0212
20,16-TwoStageMixtureNoScaling,exp_19,1.0,1.3148,0.8300000000000001,1.0,0.0,0.6,0.28,0.4,0.5,0.17,0.43,0.5,1.0,TwoStageMixtureNoScaling,0.8097,0.5636,0,0.275
21,16-TwoStageMixtureNoScaling,exp_89,0.0,0.1555,0.4,1.0,1.0,0.6,0.5,0.4,0.5,0.38,0.3,0.5,0.0,TwoStageMixtureNoScaling,0.8138,0.4877,1,0.1952
22,16-TwoStageMixtureNoScaling,exp_88,0.0,1.2836,0.4,0.0,1.0,0.5,0.5,0.5,0.4,0.38,0.3,0.6,0.0,TwoStageMixtureNoScaling,0.8136,0.4805,0,2.3891
23,16-TwoStageMixtureNoScaling,exp_94,1.0,0.3205,0.4,0.0,1.0,0.5,0.5,0.5,0.6,0.38,0.3,0.4,1.0,TwoStageMixtureNoScaling,0.8129,0.466,0,0.2764
24,16-TwoStageMixtureNoScaling,exp_29,1.0,1.1292,0.3,1.0,0.0,0.4,0.3,0.6,0.5,0.17,0.2,0.5,1.0,TwoStageMixtureNoScaling,0.7703,0.7024,1,0.4719
25,16-TwoStageMixtureNoScaling,exp_68,1.0,0.6884,0.52,0.0,0.0,0.5,0.72,0.5,0.6,0.51,0.42,0.4,1.0,TwoStageMixtureNoScaling,0.8066,0.5841,1,1.4802
26,16-TwoStageMixtureNoScaling,exp_35,1.0,1.1873,0.32,1.0,0.0,0.6,0.79,0.4,0.5,0.7,0.2,0.5,1.0,TwoStageMixtureNoScaling,0.8103,0.5591,1,1.0864
27,16-TwoStageMixtureNoScaling,catch_7,1.0,0.2717,0.52,1.0,1.0,0.5,0.28,0.5,0.5,0.48,0.21,0.5,1.0,TwoStageMixtureNoScaling,0.7089,0.1968,1,1.9142
28,16-TwoStageMixtureNoScaling,exp_73,1.0,1.0129,0.6799999999999999,1.0,1.0,0.6,0.8,0.4,0.5,0.2,0.4,0.5,1.0,TwoStageMixtureNoScaling,0.7512,0.74,0,0.7087
29,16-TwoStageMixtureNoScaling,exp_102,0.0,1.0536,0.6900000000000001,0.0,1.0,0.5,0.58,0.5,0.6,0.38,0.49,0.4,0.0,TwoStageMixtureNoScaling,0.8026,0.3925,0,0.247
30,16-TwoStageMixtureNoScaling,exp_104,0.0,0.7305,0.3,0.0,1.0,0.5,0.78,0.5,0.4,0.4,0.21,0.6,0.0,TwoStageMixtureNoScaling,0.8076,0.5782,1,0.2741
