,subject_id,condition,choice,rt,m1,presentation01,last_stage_favours,gp,p0,gm,g1,p1,m0,g0,choice_formatted,model,pred_mean_rt,pred_p_choose_0,pred_choice,pred_rt
0,9-TwoStageMixtureNoScaling,exp_19,1.0,0.1989,0.8300000000000001,1.0,0.0,0.6,0.28,0.4,0.5,0.17,0.43,0.5,1.0,TwoStageMixtureNoScaling,0.3284,0.458,1,0.4667
1,9-TwoStageMixtureNoScaling,exp_96,1.0,0.0832,0.6900000000000001,0.0,1.0,0.5,0.58,0.5,0.4,0.38,0.49,0.6,1.0,TwoStageMixtureNoScaling,0.3291,0.4959,1,0.1281
2,9-TwoStageMixtureNoScaling,exp_60,1.0,0.3896,0.62,0.0,0.0,0.5,0.41,0.5,0.6,0.21,0.18,0.4,1.0,TwoStageMixtureNoScaling,0.3128,0.3108,0,0.1286
3,9-TwoStageMixtureNoScaling,exp_18,0.0,0.0995,0.8300000000000001,0.0,0.0,0.5,0.28,0.5,0.4,0.17,0.43,0.6,0.0,TwoStageMixtureNoScaling,0.3279,0.4477,1,0.0689
4,9-TwoStageMixtureNoScaling,exp_29,0.0,0.1883,0.3,1.0,0.0,0.4,0.3,0.6,0.5,0.17,0.2,0.5,0.0,TwoStageMixtureNoScaling,0.3057,0.7243,1,0.2882
5,9-TwoStageMixtureNoScaling,catch_7,0.0,0.1578,0.52,1.0,1.0,0.5,0.28,0.5,0.5,0.48,0.21,0.5,0.0,TwoStageMixtureNoScaling,0.142,0.0106,0,0.0833
6,9-TwoStageMixtureNoScaling,exp_80,0.0,0.2586,0.8099999999999999,0.0,1.0,0.5,0.61,0.5,0.4,0.29,0.22,0.6,0.0,TwoStageMixtureNoScaling,0.269,0.1578,0,0.0669
7,9-TwoStageMixtureNoScaling,exp_107,1.0,0.1772,0.3,1.0,0.0,0.6,0.78,0.4,0.5,0.4,0.21,0.5,1.0,TwoStageMixtureNoScaling,0.2857,0.7977,1,0.9872
8,9-TwoStageMixtureNoScaling,exp_58,0.0,0.0597,0.62,0.0,0.0,0.5,0.41,0.5,0.4,0.21,0.18,0.6,0.0,TwoStageMixtureNoScaling,0.3183,0.3451,0,0.1828
9,9-TwoStageMixtureNoScaling,exp_94,1.0,0.1176,0.4,0.0,1.0,0.5,0.5,0.5,0.6,0.38,0.3,0.4,1.0,TwoStageMixtureNoScaling,0.3265,0.422,0,1.0487
10,9-TwoStageMixtureNoScaling,exp_30,1.0,0.4529,0.3,0.0,1.0,0.5,0.3,0.5,0.6,0.17,0.2,0.4,1.0,TwoStageMixtureNoScaling,0.3278,0.5553,1,0.2615
