,subject_id,condition,choice,rt,m1,gm,p1,gp,m0,last_stage_favours,presentation01,p0,choice_formatted,model,pred_mean_rt,pred_p_choose_0,pred_choice,pred_rt
0,26-attributes,exp_91,0.0,0.3621999999880791,0.4,0.4,0.38,0.6,0.3,0.0,1.0,0.5,1.0,TwoStageBetween,0.7549,0.9274,1,0.2893
1,26-attributes,exp_23,0.0,0.29360000002384185,0.8300000000000001,0.6,0.17,0.4,0.43,1.0,1.0,0.28,1.0,TwoStageBetween,0.4325,0.9945,1,0.6676
2,26-attributes,exp_9,0.0,0.2898000000119209,0.5,0.4,0.29,0.6,0.18,1.0,1.0,0.7,1.0,TwoStageBetween,0.2613,0.9998,1,0.2975
3,26-attributes,exp_59,1.0,0.3543000000119209,0.62,0.4,0.21,0.6,0.18,0.0,1.0,0.41,0.0,TwoStageBetween,0.3636,0.998,1,0.5373
4,26-attributes,exp_27,0.0,0.295,0.3,0.4,0.17,0.6,0.2,0.0,1.0,0.3,1.0,TwoStageBetween,0.4093,0.9959,1,0.2073
5,26-attributes,exp_15,0.0,0.2838000000119209,0.5,0.6,0.29,0.4,0.18,1.0,1.0,0.7,1.0,TwoStageBetween,0.2613,0.9998,1,0.1517
6,26-attributes,catch_3,1.0,0.3426999999880791,0.6799999999999999,0.5,0.38,0.5,0.58,1.0,1.0,0.19,0.0,TwoStageBetween,0.3276,0.001,0,0.5119
7,26-attributes,exp_43,1.0,0.3555,0.79,0.4,0.48,0.6,0.16999999999999996,0.0,1.0,0.81,0.0,TwoStageBetween,0.4717,0.9912,1,0.3543
8,26-attributes,catch_5,1.0,0.2945999999642372,0.43,0.5,0.49,0.5,0.32,1.0,1.0,0.4,0.0,TwoStageBetween,0.8475,0.116,0,0.3575
9,26-attributes,exp_57,0.0,0.2885,0.62,0.4,0.21,0.6,0.18,1.0,1.0,0.41,1.0,TwoStageBetween,0.339,0.9987,1,0.9761
10,26-attributes,exp_69,0.0,0.41810000002384184,0.52,0.6,0.51,0.4,0.42000000000000004,0.0,1.0,0.72,1.0,TwoStageBetween,0.6353,0.9649,1,0.638
11,26-attributes,exp_37,0.0,0.7085,0.32,0.6,0.7,0.4,0.2,0.0,1.0,0.79,1.0,TwoStageBetween,1.021,0.6989,1,0.2531
12,26-attributes,exp_107,0.0,0.34969999998807905,0.3,0.4,0.4,0.6,0.21000000000000002,0.0,1.0,0.78,1.0,TwoStageBetween,0.349,0.9985,1,0.2694
13,26-attributes,catch_9,1.0,0.27680000001192095,0.4,0.5,0.72,0.5,0.18,1.0,1.0,0.48,0.0,TwoStageBetween,0.5133,0.0134,0,0.1931
14,26-attributes,exp_99,0.0,0.2709000000357628,0.6900000000000001,0.4,0.38,0.6,0.49000000000000005,0.0,1.0,0.58,1.0,TwoStageBetween,0.5386,0.9832,1,0.6395
15,26-attributes,exp_35,0.0,0.5600999999642372,0.32,0.4,0.7,0.6,0.2,0.0,1.0,0.79,1.0,TwoStageBetween,1.021,0.6989,1,1.1287
16,26-attributes,exp_3,0.0,0.2893000000119209,0.8300000000000001,0.4,0.49,0.6,0.53,0.0,1.0,0.79,1.0,TwoStageBetween,0.4847,0.9899,1,0.2373
17,26-attributes,exp_113,0.0,0.35460000002384184,0.79,0.4,0.22,0.6,0.42000000000000004,1.0,1.0,0.49,1.0,TwoStageBetween,0.2805,0.9997,1,0.2881
18,26-attributes,exp_101,0.0,0.242,0.6900000000000001,0.6,0.38,0.4,0.49000000000000005,0.0,1.0,0.58,1.0,TwoStageBetween,0.5386,0.9832,1,0.3896
19,26-attributes,exp_117,0.0,0.348,0.79,0.6,0.22,0.4,0.42000000000000004,0.0,1.0,0.49,1.0,TwoStageBetween,0.2973,0.9995,1,0.3433
20,26-attributes,exp_115,0.0,0.27760000002384183,0.79,0.4,0.22,0.6,0.42000000000000004,0.0,1.0,0.49,1.0,TwoStageBetween,0.2973,0.9995,1,0.2036
21,26-attributes,exp_29,0.0,0.2853000000119209,0.3,0.6,0.17,0.4,0.2,0.0,1.0,0.3,1.0,TwoStageBetween,0.4093,0.9959,1,0.175
22,26-attributes,catch_1,1.0,0.34540000003576277,0.5900000000000001,0.5,0.41,0.5,0.42000000000000004,1.0,1.0,0.29,0.0,TwoStageBetween,0.6048,0.0282,0,0.2517
