,subject_id,condition,choice,rt,m1,gm,p1,gp,m0,last_stage_favours,presentation01,p0,choice_formatted,model,pred_mean_rt,pred_p_choose_0,pred_choice,pred_rt
0,67-attributes,exp_47,1.0,0.761,0.79,0.6,0.48,0.4,0.16999999999999996,1.0,1.0,0.81,0.0,TwoStageBetween,1.017,0.4292,0,0.2177
1,67-attributes,exp_89,1.0,0.766,0.4,0.4,0.38,0.6,0.3,1.0,1.0,0.5,0.0,TwoStageBetween,0.9616,0.7191,0,0.3154
2,67-attributes,exp_117,1.0,0.666,0.79,0.6,0.22,0.4,0.42000000000000004,0.0,1.0,0.49,0.0,TwoStageBetween,0.8809,0.8211,1,0.7516
3,67-attributes,exp_73,0.0,0.7,0.6799999999999999,0.4,0.2,0.6,0.4,1.0,1.0,0.8,1.0,TwoStageBetween,0.4596,0.9896,1,0.5519
4,67-attributes,exp_23,1.0,0.661,0.8300000000000001,0.6,0.17,0.4,0.43,1.0,1.0,0.28,0.0,TwoStageBetween,0.9466,0.7433,0,1.1776
5,67-attributes,exp_69,1.0,0.866,0.52,0.6,0.51,0.4,0.42000000000000004,0.0,1.0,0.72,0.0,TwoStageBetween,0.9963,0.6433,1,2.1685
6,67-attributes,exp_25,1.0,0.716,0.3,0.4,0.17,0.6,0.2,1.0,1.0,0.3,0.0,TwoStageBetween,0.8134,0.8746,1,0.3457
7,67-attributes,exp_57,1.0,0.671,0.62,0.4,0.21,0.6,0.18,1.0,1.0,0.41,0.0,TwoStageBetween,0.975,0.694,0,1.7111
8,67-attributes,exp_19,1.0,0.724,0.8300000000000001,0.4,0.17,0.6,0.43,0.0,1.0,0.28,0.0,TwoStageBetween,1.0111,0.591,1,0.2445
9,67-attributes,exp_1,1.0,0.62,0.8300000000000001,0.4,0.49,0.6,0.53,1.0,1.0,0.79,0.0,TwoStageBetween,0.8887,0.8136,1,0.3853
10,67-attributes,catch_3,1.0,0.695,0.6799999999999999,0.5,0.38,0.5,0.58,1.0,1.0,0.19,0.0,TwoStageBetween,0.6636,0.0533,0,0.2031
11,67-attributes,exp_27,0.0,0.676,0.3,0.4,0.17,0.6,0.2,0.0,1.0,0.3,1.0,TwoStageBetween,0.9337,0.7617,1,0.4867
12,67-attributes,exp_45,1.0,0.891,0.79,0.6,0.48,0.4,0.16999999999999996,0.0,1.0,0.81,0.0,TwoStageBetween,0.954,0.2603,0,1.2901
13,67-attributes,exp_67,0.0,0.669,0.52,0.4,0.51,0.6,0.42000000000000004,0.0,1.0,0.72,1.0,TwoStageBetween,0.9929,0.6528,1,1.6332
14,67-attributes,exp_37,1.0,0.677,0.32,0.6,0.7,0.4,0.2,0.0,1.0,0.79,0.0,TwoStageBetween,0.9712,0.2895,1,0.5605
15,67-attributes,exp_107,0.0,0.781,0.3,0.4,0.4,0.6,0.21000000000000002,0.0,1.0,0.78,1.0,TwoStageBetween,0.8577,0.8418,1,1.3895
16,67-attributes,exp_53,0.0,0.624,0.82,0.6,0.32,0.4,0.6900000000000001,0.0,1.0,0.49,1.0,TwoStageBetween,0.9522,0.7347,0,3.6682
17,67-attributes,catch_9,1.0,0.663,0.4,0.5,0.72,0.5,0.18,1.0,1.0,0.48,0.0,TwoStageBetween,0.6411,0.0463,0,1.1814
18,67-attributes,exp_3,0.0,0.745,0.8300000000000001,0.4,0.49,0.6,0.53,0.0,1.0,0.79,1.0,TwoStageBetween,0.987,0.6677,1,0.2811
19,67-attributes,exp_15,0.0,0.684,0.5,0.6,0.29,0.4,0.18,1.0,1.0,0.7,1.0,TwoStageBetween,0.8267,0.8655,1,1.8211
20,67-attributes,catch_7,1.0,0.663,0.52,0.5,0.48,0.5,0.21000000000000002,1.0,1.0,0.28,0.0,TwoStageBetween,0.5413,0.0224,0,0.2186
21,67-attributes,exp_43,1.0,1.841,0.79,0.4,0.48,0.6,0.16999999999999996,0.0,1.0,0.81,0.0,TwoStageBetween,0.9666,0.2812,0,0.6567
22,67-attributes,exp_113,0.0,0.809,0.79,0.4,0.22,0.6,0.42000000000000004,1.0,1.0,0.49,1.0,TwoStageBetween,0.7367,0.9173,1,0.5591
23,67-attributes,exp_9,0.0,0.59,0.5,0.4,0.29,0.6,0.18,1.0,1.0,0.7,1.0,TwoStageBetween,0.8065,0.8792,1,0.8267
24,67-attributes,exp_29,0.0,0.814,0.3,0.6,0.17,0.4,0.2,0.0,1.0,0.3,1.0,TwoStageBetween,0.943,0.7487,1,0.3404
25,67-attributes,exp_91,0.0,0.764,0.4,0.4,0.38,0.6,0.3,0.0,1.0,0.5,1.0,TwoStageBetween,1.019,0.543,0,0.7399
26,67-attributes,exp_115,0.0,0.669,0.79,0.4,0.22,0.6,0.42000000000000004,0.0,1.0,0.49,1.0,TwoStageBetween,0.8652,0.8354,1,0.4199
27,67-attributes,exp_101,0.0,0.648,0.6900000000000001,0.6,0.38,0.4,0.49000000000000005,0.0,1.0,0.58,1.0,TwoStageBetween,0.9926,0.6537,0,1.7901
28,67-attributes,exp_59,0.0,0.713,0.62,0.4,0.21,0.6,0.18,0.0,1.0,0.41,1.0,TwoStageBetween,1.0212,0.5132,1,1.3221
29,67-attributes,exp_99,0.0,0.751,0.6900000000000001,0.4,0.38,0.6,0.49000000000000005,0.0,1.0,0.58,1.0,TwoStageBetween,0.9878,0.6659,1,0.2606
30,67-attributes,exp_35,1.0,0.613,0.32,0.4,0.7,0.6,0.2,0.0,1.0,0.79,0.0,TwoStageBetween,0.9747,0.2962,0,1.1198
31,67-attributes,catch_1,1.0,0.697,0.5900000000000001,0.5,0.41,0.5,0.42000000000000004,1.0,1.0,0.29,0.0,TwoStageBetween,0.8319,0.1354,0,0.2839
32,67-attributes,catch_5,1.0,0.809,0.43,0.5,0.49,0.5,0.32,1.0,1.0,0.4,0.0,TwoStageBetween,0.9403,0.2403,0,1.5273
33,67-attributes,exp_103,0.0,0.623,0.6900000000000001,0.6,0.38,0.4,0.49000000000000005,1.0,1.0,0.58,1.0,TwoStageBetween,0.8984,0.8037,1,3.5525
34,67-attributes,catch_15,1.0,0.599,0.49000000000000005,0.5,0.49,0.5,0.3,1.0,1.0,0.22,0.0,TwoStageBetween,0.5166,0.0181,0,0.4655
35,67-attributes,exp_97,0.0,0.678,0.6900000000000001,0.4,0.38,0.6,0.49000000000000005,1.0,1.0,0.58,1.0,TwoStageBetween,0.89,0.8123,1,0.2592
36,67-attributes,exp_77,0.0,0.732,0.6799999999999999,0.6,0.2,0.4,0.4,0.0,1.0,0.8,1.0,TwoStageBetween,0.556,0.9747,1,0.4201
37,67-attributes,exp_55,0.0,0.662,0.82,0.6,0.32,0.4,0.6900000000000001,1.0,1.0,0.49,1.0,TwoStageBetween,0.8372,0.8579,1,1.661
38,67-attributes,exp_49,0.0,0.911,0.82,0.4,0.32,0.6,0.6900000000000001,1.0,1.0,0.49,1.0,TwoStageBetween,0.8294,0.8636,1,0.863
39,67-attributes,exp_63,0.0,0.621,0.62,0.6,0.21,0.4,0.18,1.0,1.0,0.41,1.0,TwoStageBetween,0.9861,0.6699,1,1.0561
40,67-attributes,exp_79,0.0,0.788,0.6799999999999999,0.6,0.2,0.4,0.4,1.0,1.0,0.8,1.0,TwoStageBetween,0.4722,0.9882,1,0.3765
41,67-attributes,exp_93,1.0,0.066,0.4,0.6,0.38,0.4,0.3,0.0,1.0,0.5,0.0,TwoStageBetween,1.0199,0.5335,0,1.2063
42,67-attributes,exp_105,0.0,0.505,0.3,0.4,0.4,0.6,0.21000000000000002,1.0,1.0,0.78,1.0,TwoStageBetween,0.7291,0.9208,1,0.859
43,67-attributes,exp_85,0.0,0.66,0.8099999999999999,0.6,0.29,0.4,0.22000000000000003,0.0,1.0,0.61,1.0,TwoStageBetween,1.0201,0.5312,1,0.9096
44,67-attributes,exp_65,0.0,0.662,0.52,0.4,0.51,0.6,0.42000000000000004,1.0,1.0,0.72,1.0,TwoStageBetween,0.899,0.8031,0,1.2065
45,67-attributes,exp_81,0.0,0.672,0.8099999999999999,0.4,0.29,0.6,0.22000000000000003,1.0,1.0,0.61,1.0,TwoStageBetween,0.953,0.7334,1,1.191
46,67-attributes,catch_19,1.0,0.567,0.48,0.5,0.59,0.5,0.31,1.0,1.0,0.48,0.0,TwoStageBetween,0.8952,0.1881,0,0.6601
47,67-attributes,exp_109,0.0,0.99,0.3,0.6,0.4,0.4,0.21000000000000002,0.0,1.0,0.78,1.0,TwoStageBetween,0.87,0.8312,1,0.8199
48,67-attributes,exp_51,0.0,0.66,0.82,0.4,0.32,0.6,0.6900000000000001,0.0,1.0,0.49,1.0,TwoStageBetween,0.9463,0.7438,1,1.1412
49,67-attributes,exp_31,0.0,0.603,0.3,0.6,0.17,0.4,0.2,1.0,1.0,0.3,1.0,TwoStageBetween,0.8252,0.8666,1,0.5021
50,67-attributes,exp_11,0.0,1.313,0.5,0.4,0.29,0.6,0.18,0.0,1.0,0.7,1.0,TwoStageBetween,0.928,0.7692,1,1.1211
51,67-attributes,exp_17,1.0,0.774,0.8300000000000001,0.4,0.17,0.6,0.43,1.0,1.0,0.28,0.0,TwoStageBetween,0.9368,0.7575,1,0.7938
52,67-attributes,catch_17,1.0,0.517,0.3,0.5,0.68,0.5,0.22000000000000003,1.0,1.0,0.4,0.0,TwoStageBetween,0.7142,0.072,0,1.3484
