,subject_id,condition,choice,rt,presentation01,g0,g1,p0,p1,m1,last_stage_favours,m0,choice_formatted,model,pred_mean_rt,pred_p_choose_0,pred_choice,pred_rt
0,72-TwoStageWithin,exp_37,1.0,1.6666,1.0,0.5,0.5,0.79,0.7,0.32,0.0,0.2,1.0,TwoStageWithin,0.9651,0.4972,0.0,1.3394
1,72-TwoStageWithin,exp_80,0.0,0.6729,0.0,0.6,0.4,0.61,0.29,0.8099999999999999,1.0,0.22,0.0,TwoStageWithin,0.8173,0.8322,0.0,0.601
2,72-TwoStageWithin,exp_29,1.0,1.5698,1.0,0.5,0.5,0.3,0.17,0.3,0.0,0.2,1.0,TwoStageWithin,0.8969,0.7365,1.0,0.6972
3,72-TwoStageWithin,exp_8,1.0,1.6419,0.0,0.6,0.4,0.7,0.29,0.5,1.0,0.18,1.0,TwoStageWithin,0.6617,0.9305,1.0,1.6955
4,72-TwoStageWithin,exp_102,1.0,0.4166,0.0,0.4,0.6,0.58,0.38,0.6900000000000001,1.0,0.49,1.0,TwoStageWithin,0.8213,0.8285,1.0,0.141
5,72-TwoStageWithin,exp_108,1.0,0.2946,0.0,0.4,0.6,0.78,0.4,0.3,0.0,0.21,1.0,TwoStageWithin,0.5236,0.9739,1.0,0.1656
6,72-TwoStageWithin,exp_69,1.0,1.2966,1.0,0.5,0.5,0.72,0.51,0.52,0.0,0.42,1.0,TwoStageWithin,0.7464,0.8862,1.0,0.1717
7,72-TwoStageWithin,exp_57,1.0,1.1532,1.0,0.5,0.5,0.41,0.21,0.62,1.0,0.18,1.0,TwoStageWithin,0.8883,0.7497,1.0,0.8817
8,72-TwoStageWithin,exp_60,1.0,2.1342,0.0,0.4,0.6,0.41,0.21,0.62,0.0,0.18,1.0,TwoStageWithin,0.8378,0.8122,1.0,1.5196
9,72-TwoStageWithin,exp_43,0.0,0.2313,1.0,0.5,0.5,0.81,0.48,0.79,0.0,0.1699999999999999,0.0,TwoStageWithin,0.9142,0.706,1.0,0.6281
10,72-TwoStageWithin,exp_84,1.0,0.6299,0.0,0.4,0.6,0.61,0.29,0.8099999999999999,0.0,0.22,1.0,TwoStageWithin,0.7013,0.9119,1.0,0.5886
11,72-TwoStageWithin,catch_5,0.0,0.1328,1.0,0.5,0.5,0.4,0.49,0.43,1.0,0.32,0.0,TwoStageWithin,0.8553,0.2031,1.0,1.6314
12,72-TwoStageWithin,exp_88,0.0,1.3544,0.0,0.6,0.4,0.5,0.38,0.4,1.0,0.3,0.0,TwoStageWithin,0.9427,0.6375,1.0,2.9668
13,72-TwoStageWithin,exp_35,1.0,0.4025,1.0,0.5,0.5,0.79,0.7,0.32,0.0,0.2,1.0,TwoStageWithin,0.9651,0.4972,0.0,0.9008
14,72-TwoStageWithin,exp_42,1.0,1.3386,0.0,0.6,0.4,0.81,0.48,0.79,0.0,0.1699999999999999,1.0,TwoStageWithin,0.8694,0.776,1.0,1.9104
15,72-TwoStageWithin,exp_15,1.0,0.878,1.0,0.5,0.5,0.7,0.29,0.5,1.0,0.18,1.0,TwoStageWithin,0.6082,0.9508,1.0,0.7952
16,72-TwoStageWithin,exp_27,0.0,0.7534,1.0,0.5,0.5,0.3,0.17,0.3,0.0,0.2,0.0,TwoStageWithin,0.8969,0.7365,0.0,0.6546
17,72-TwoStageWithin,exp_25,0.0,0.7117,1.0,0.5,0.5,0.3,0.17,0.3,1.0,0.2,0.0,TwoStageWithin,0.8969,0.7365,0.0,1.3552
18,72-TwoStageWithin,exp_101,1.0,1.2002,1.0,0.5,0.5,0.58,0.38,0.6900000000000001,0.0,0.49,1.0,TwoStageWithin,0.7638,0.8747,1.0,0.2299
19,72-TwoStageWithin,exp_64,1.0,0.2982,0.0,0.6,0.4,0.72,0.51,0.52,1.0,0.42,1.0,TwoStageWithin,0.8045,0.8435,0.0,1.9319
20,72-TwoStageWithin,exp_113,1.0,0.3591,1.0,0.5,0.5,0.49,0.22,0.79,1.0,0.42,1.0,TwoStageWithin,0.6567,0.9326,1.0,0.8796
21,72-TwoStageWithin,exp_45,1.0,0.5391,1.0,0.5,0.5,0.81,0.48,0.79,0.0,0.1699999999999999,1.0,TwoStageWithin,0.9142,0.706,1.0,0.5992
22,72-TwoStageWithin,exp_10,1.0,0.2768,0.0,0.6,0.4,0.7,0.29,0.5,0.0,0.18,1.0,TwoStageWithin,0.5593,0.9653,1.0,0.1501
23,72-TwoStageWithin,exp_94,0.0,0.2109,0.0,0.4,0.6,0.5,0.38,0.4,1.0,0.3,0.0,TwoStageWithin,0.9427,0.6375,1.0,2.3925
24,72-TwoStageWithin,exp_117,1.0,0.4997,1.0,0.5,0.5,0.49,0.22,0.79,0.0,0.42,1.0,TwoStageWithin,0.6567,0.9326,1.0,0.7516
25,72-TwoStageWithin,exp_107,1.0,0.6066,1.0,0.5,0.5,0.78,0.4,0.3,0.0,0.21,1.0,TwoStageWithin,0.5684,0.9629,1.0,1.1077
26,72-TwoStageWithin,exp_3,1.0,0.765,1.0,0.5,0.5,0.79,0.49,0.8300000000000001,0.0,0.53,1.0,TwoStageWithin,0.6168,0.9478,1.0,0.6066
