,subject_id,condition,choice,rt,m1,presentation01,last_stage_favours,p0,g1,p1,m0,g0,choice_formatted,model,pred_mean_rt,pred_p_choose_0,pred_choice,pred_rt
0,9-TwoStageMixtureNoScaling,exp_19,1.0,0.1989,0.8300000000000001,1.0,0.0,0.28,0.5,0.17,0.43,0.5,1.0,TwoStageWithin,0.317,0.3937,0,1.0028
1,9-TwoStageMixtureNoScaling,exp_96,1.0,0.0832,0.6900000000000001,0.0,1.0,0.58,0.4,0.38,0.49,0.6,1.0,TwoStageWithin,0.3134,0.6394,1,0.4686
2,9-TwoStageMixtureNoScaling,exp_60,1.0,0.3896,0.62,0.0,0.0,0.41,0.6,0.21,0.18,0.4,1.0,TwoStageWithin,0.2938,0.2532,1,0.2215
3,9-TwoStageMixtureNoScaling,exp_18,0.0,0.0995,0.8300000000000001,0.0,0.0,0.28,0.4,0.17,0.43,0.6,0.0,TwoStageWithin,0.3206,0.4457,0,0.1205
4,9-TwoStageMixtureNoScaling,exp_29,0.0,0.1883,0.3,1.0,0.0,0.3,0.5,0.17,0.2,0.5,0.0,TwoStageWithin,0.3217,0.5207,0,1.5811
5,9-TwoStageMixtureNoScaling,catch_7,0.0,0.1578,0.52,1.0,1.0,0.28,0.5,0.48,0.21,0.5,0.0,TwoStageWithin,0.2061,0.0603,0,0.0926
6,9-TwoStageMixtureNoScaling,exp_80,0.0,0.2586,0.8099999999999999,0.0,1.0,0.61,0.4,0.29,0.22,0.6,0.0,TwoStageWithin,0.2737,0.1856,0,0.0476
7,9-TwoStageMixtureNoScaling,exp_107,1.0,0.1772,0.3,1.0,0.0,0.78,0.5,0.4,0.21,0.5,1.0,TwoStageWithin,0.3156,0.6203,0,0.3157
8,9-TwoStageMixtureNoScaling,exp_58,0.0,0.0597,0.62,0.0,0.0,0.41,0.4,0.21,0.18,0.6,0.0,TwoStageWithin,0.3065,0.3145,1,0.3267
9,9-TwoStageMixtureNoScaling,exp_94,1.0,0.1176,0.4,0.0,1.0,0.5,0.6,0.38,0.3,0.4,1.0,TwoStageWithin,0.3191,0.42,0,0.4939
10,9-TwoStageMixtureNoScaling,exp_30,1.0,0.4529,0.3,0.0,1.0,0.3,0.6,0.17,0.2,0.4,1.0,TwoStageWithin,0.3219,0.4987,1,0.5167
11,9-TwoStageMixtureNoScaling,exp_57,1.0,0.5943,0.62,1.0,1.0,0.41,0.5,0.21,0.18,0.5,1.0,TwoStageWithin,0.3,0.2807,1,0.1591
