,subject_id,condition,choice,rt,p1,m0,p0,presentation01,m1,g1,g0,last_stage_favours,choice_formatted,model,pred_mean_rt,pred_p_choose_0,pred_choice,pred_rt
0,7,exp_117,1.0,1.184965000000433,0.22,0.42000000000000004,0.49,1.0,0.79,0.5,0.5,0.0,0.0,TwoStageWithin,0.4847,0.5693,0,0.3287
1,7,exp_88,0.0,1.5199799999971875,0.38,0.3,0.5,0.0,0.4,0.4,0.6,1.0,1.0,TwoStageWithin,0.4827,0.4116,0,0.8391
2,7,catch_9,1.0,0.65063000000373,0.72,0.18,0.48,1.0,0.4,0.5,0.5,1.0,0.0,TwoStageWithin,0.4853,0.4383,1,0.0559
3,7,exp_15,1.0,0.4018399999986869,0.29,0.18,0.7,1.0,0.5,0.5,0.5,1.0,0.0,TwoStageWithin,0.4807,0.6044,0,0.069
4,7,exp_52,0.0,0.4077449999967357,0.32,0.6900000000000001,0.49,0.0,0.82,0.6,0.4,0.0,1.0,TwoStageWithin,0.471,0.6586,1,0.3567
5,7,exp_60,1.0,0.3835600000020349,0.21,0.18,0.41,0.0,0.62,0.6,0.4,0.0,0.0,TwoStageWithin,0.4695,0.6655,1,0.2328
6,7,exp_108,1.0,0.4025450000044657,0.4,0.21000000000000002,0.78,0.0,0.3,0.6,0.4,0.0,0.0,TwoStageWithin,0.459,0.7056,0,0.1884
7,7,exp_19,0.0,0.42309499999822575,0.17,0.43,0.28,1.0,0.8300000000000001,0.5,0.5,0.0,1.0,TwoStageWithin,0.4873,0.5284,1,0.4514
8,7,catch_6,0.0,0.4203899999993155,0.59,0.19,0.23,0.0,0.27,0.5,0.5,1.0,1.0,TwoStageWithin,0.4603,0.2987,0,0.411
9,7,catch_1,0.0,0.4519450000007637,0.41,0.42000000000000004,0.29,1.0,0.5900000000000001,0.5,0.5,1.0,1.0,TwoStageWithin,0.4872,0.469,1,0.2259
10,7,exp_36,1.0,0.5867750000033993,0.7,0.2,0.79,0.0,0.32,0.6,0.4,0.0,0.0,TwoStageWithin,0.4749,0.6398,0,0.5146
11,7,exp_27,1.0,0.18707000000006518,0.17,0.2,0.3,1.0,0.3,0.5,0.5,0.0,0.0,TwoStageWithin,0.4871,0.5335,1,0.6736
12,7,exp_1,0.0,0.4830800000054296,0.49,0.53,0.79,1.0,0.8300000000000001,0.5,0.5,1.0,1.0,TwoStageWithin,0.4839,0.5769,0,0.1531
13,7,exp_102,0.0,0.4012549999970943,0.38,0.49000000000000005,0.58,0.0,0.6900000000000001,0.6,0.4,1.0,1.0,TwoStageWithin,0.4848,0.4318,0,0.8031
14,7,catch_4,1.0,1.1243650000032503,0.31,0.4,0.19,0.0,0.73,0.5,0.5,1.0,0.0,TwoStageWithin,0.4735,0.3531,0,0.5966
15,7,exp_94,0.0,0.23277999999839813,0.38,0.3,0.5,0.0,0.4,0.6,0.4,1.0,1.0,TwoStageWithin,0.4827,0.4116,1,0.323
16,7,exp_68,0.0,0.3816999999980908,0.51,0.42000000000000004,0.72,0.0,0.52,0.6,0.4,0.0,1.0,TwoStageWithin,0.469,0.6678,1,0.1692
17,7,exp_3,0.0,0.0896850000062259,0.49,0.53,0.79,1.0,0.8300000000000001,0.5,0.5,0.0,1.0,TwoStageWithin,0.4839,0.5769,1,1.826
18,7,exp_53,1.0,0.4339800000016112,0.32,0.6900000000000001,0.49,1.0,0.82,0.5,0.5,0.0,0.0,TwoStageWithin,0.4866,0.5438,0,0.8545
19,7,exp_80,0.0,0.38855999999935736,0.29,0.22000000000000003,0.61,0.0,0.8099999999999999,0.4,0.6,1.0,1.0,TwoStageWithin,0.4869,0.4624,1,0.157
20,7,exp_26,1.0,0.5370549999934155,0.17,0.2,0.3,0.0,0.3,0.4,0.6,0.0,0.0,TwoStageWithin,0.473,0.6492,0,0.2955
21,7,exp_67,1.0,0.6513150000028545,0.51,0.42000000000000004,0.72,1.0,0.52,0.5,0.5,0.0,0.0,TwoStageWithin,0.4859,0.554,0,1.5379
22,7,exp_114,0.0,0.4244449999968056,0.22,0.42000000000000004,0.49,0.0,0.79,0.4,0.6,0.0,1.0,TwoStageWithin,0.4657,0.6814,1,0.5346
23,7,exp_25,1.0,0.4399100000010803,0.17,0.2,0.3,1.0,0.3,0.5,0.5,1.0,0.0,TwoStageWithin,0.4871,0.5335,0,0.4155
24,7,exp_59,0.0,0.4435799999992596,0.21,0.18,0.41,1.0,0.62,0.5,0.5,0.0,1.0,TwoStageWithin,0.4861,0.5515,1,0.5112
25,7,exp_46,1.0,0.661455000001355,0.48,0.16999999999999996,0.81,0.0,0.79,0.6,0.4,1.0,0.0,TwoStageWithin,0.487,0.465,1,0.1029
26,7,exp_37,1.0,0.9873099999967964,0.7,0.2,0.79,1.0,0.32,0.5,0.5,0.0,0.0,TwoStageWithin,0.4874,0.5232,0,0.4235
27,7,exp_84,0.0,0.3697450000036042,0.29,0.22000000000000003,0.61,0.0,0.8099999999999999,0.6,0.4,0.0,1.0,TwoStageWithin,0.4627,0.6925,0,0.2438
