,subject_id,condition,choice,rt,p1,m0,p0,presentation01,m1,g1,g0,last_stage_favours,choice_formatted,model,pred_mean_rt,pred_p_choose_0,pred_choice,pred_rt
0,13,exp_67,0.0,0.5164500000000698,0.51,0.42000000000000004,0.72,1.0,0.52,0.5,0.5,0.0,1.0,TwoStageWithin,0.791,0.8021,1,0.3941
1,13,exp_60,1.0,0.9775549999994692,0.21,0.18,0.41,0.0,0.62,0.6,0.4,0.0,0.0,TwoStageWithin,0.8789,0.3455,1,0.8495
2,13,exp_26,1.0,0.7811600000004401,0.17,0.2,0.3,0.0,0.3,0.4,0.6,0.0,0.0,TwoStageWithin,0.8932,0.5979,0,1.6683
3,13,exp_3,0.0,0.4123300000001327,0.49,0.53,0.79,1.0,0.8300000000000001,0.5,0.5,0.0,1.0,TwoStageWithin,0.7553,0.8388,0,1.2184
4,13,exp_8,0.0,1.3005599999997066,0.29,0.18,0.7,0.0,0.5,0.4,0.6,1.0,1.0,TwoStageWithin,0.8161,0.7707,1,0.5587
5,13,exp_10,1.0,1.2349299999996437,0.29,0.18,0.7,0.0,0.5,0.4,0.6,0.0,0.0,TwoStageWithin,0.8588,0.6989,0,0.1847
6,13,exp_50,0.0,0.4255400000001537,0.32,0.6900000000000001,0.49,0.0,0.82,0.4,0.6,0.0,1.0,TwoStageWithin,0.704,0.8799,1,0.2793
7,13,catch_4,1.0,0.39153999999957156,0.31,0.4,0.19,0.0,0.73,0.5,0.5,1.0,0.0,TwoStageWithin,0.6289,0.0759,0,0.4031
8,13,exp_52,0.0,0.652829999999958,0.32,0.6900000000000001,0.49,0.0,0.82,0.6,0.4,0.0,1.0,TwoStageWithin,0.7879,0.8057,0,0.6803
9,13,exp_116,0.0,1.684320000000298,0.22,0.42000000000000004,0.49,0.0,0.79,0.6,0.4,0.0,1.0,TwoStageWithin,0.8076,0.7819,1,1.5788
10,13,exp_35,0.0,0.45874999999976723,0.7,0.2,0.79,1.0,0.32,0.5,0.5,0.0,1.0,TwoStageWithin,0.8424,0.2661,0,0.3699
11,13,exp_64,1.0,0.3038150000001769,0.51,0.42000000000000004,0.72,0.0,0.52,0.4,0.6,1.0,0.0,TwoStageWithin,0.7172,0.8704,1,0.5282
12,13,catch_6,1.0,0.22131500000075902,0.59,0.19,0.23,0.0,0.27,0.5,0.5,1.0,0.0,TwoStageWithin,0.5586,0.047,0,0.3022
13,13,exp_25,0.0,1.0577650000004797,0.17,0.2,0.3,1.0,0.3,0.5,0.5,1.0,1.0,TwoStageWithin,0.8871,0.6229,0,0.6112
14,13,exp_36,1.0,0.5126650000001537,0.7,0.2,0.79,0.0,0.32,0.6,0.4,0.0,0.0,TwoStageWithin,0.7847,0.1888,0,0.1486
15,13,exp_9,0.0,2.1479200000003913,0.29,0.18,0.7,1.0,0.5,0.5,0.5,1.0,1.0,TwoStageWithin,0.8581,0.7003,0,0.6498
16,13,exp_101,0.0,0.5247700000000186,0.38,0.49000000000000005,0.58,1.0,0.6900000000000001,0.5,0.5,0.0,1.0,TwoStageWithin,0.8153,0.7717,1,1.5937
17,13,exp_84,1.0,0.8654399999995949,0.29,0.22000000000000003,0.61,0.0,0.8099999999999999,0.6,0.4,0.0,0.0,TwoStageWithin,0.8655,0.3113,0,0.3
18,13,exp_27,1.0,1.6285200000002518,0.17,0.2,0.3,1.0,0.3,0.5,0.5,0.0,0.0,TwoStageWithin,0.8871,0.6229,0,2.6722
19,13,exp_73,0.0,0.3522849999999162,0.2,0.4,0.8,1.0,0.6799999999999999,0.5,0.5,1.0,1.0,TwoStageWithin,0.3501,0.9948,1,0.1926
20,13,exp_89,0.0,1.348765000000596,0.38,0.3,0.5,1.0,0.4,0.5,0.5,1.0,1.0,TwoStageWithin,0.8956,0.5864,1,1.672
21,13,exp_69,0.0,0.2269150000002701,0.51,0.42000000000000004,0.72,1.0,0.52,0.5,0.5,0.0,1.0,TwoStageWithin,0.791,0.8021,0,1.197
22,13,exp_102,0.0,0.23791499999968801,0.38,0.49000000000000005,0.58,0.0,0.6900000000000001,0.6,0.4,1.0,1.0,TwoStageWithin,0.8277,0.7539,1,0.3241
23,13,exp_53,0.0,0.2363199999999488,0.32,0.6900000000000001,0.49,1.0,0.82,0.5,0.5,0.0,1.0,TwoStageWithin,0.719,0.869,1,0.2775
24,13,exp_18,1.0,1.2009400000006427,0.17,0.43,0.28,0.0,0.8300000000000001,0.4,0.6,0.0,0.0,TwoStageWithin,0.9022,0.5394,0,0.5081
25,13,exp_58,0.0,0.9642400000002236,0.21,0.18,0.41,0.0,0.62,0.4,0.6,0.0,1.0,TwoStageWithin,0.8946,0.4027,1,0.3226
26,13,exp_91,0.0,0.2079349999994738,0.38,0.3,0.5,1.0,0.4,0.5,0.5,0.0,1.0,TwoStageWithin,0.8956,0.5864,1,1.8144
27,13,exp_68,0.0,2.0402349999995204,0.51,0.42000000000000004,0.72,0.0,0.52,0.6,0.4,0.0,1.0,TwoStageWithin,0.8533,0.7101,1,0.1373
