,subject_id,condition,choice,rt,p1,g1,last_stage_favours,g0,p0,m1,presentation01,m0,choice_formatted,model,pred_mean_rt,pred_p_choose_0,pred_choice,pred_rt
0,84,exp_78,0.0,0.6731050005182624,0.2,0.6,1.0,0.4,0.8,0.6799999999999999,0.0,0.4,1.0,TwoStageWithin,0.356,0.986,1,0.3123
1,84,catch_2,1.0,0.4756899997591973,0.6,0.5,1.0,0.5,0.38,0.4,0.0,0.22000000000000003,0.0,TwoStageWithin,0.4895,0.0559,0,0.3312
2,84,exp_42,1.0,0.6812400007620454,0.48,0.4,0.0,0.6,0.81,0.79,0.0,0.16999999999999996,0.0,TwoStageWithin,0.3721,0.0173,0,0.6393
3,84,exp_27,0.0,0.6279500005766749,0.17,0.5,0.0,0.5,0.3,0.3,1.0,0.2,1.0,TwoStageWithin,0.7657,0.5677,1,1.5252
4,84,exp_88,0.0,1.0376500003039837,0.38,0.4,1.0,0.6,0.5,0.4,0.0,0.3,1.0,TwoStageWithin,0.7637,0.5817,1,0.1483
5,84,exp_69,0.0,0.5492500001564622,0.51,0.5,0.0,0.5,0.72,0.52,1.0,0.42000000000000004,1.0,TwoStageWithin,0.7214,0.7177,1,0.2379
6,84,exp_15,1.0,0.46474000066518784,0.29,0.5,1.0,0.5,0.7,0.5,1.0,0.18,0.0,TwoStageWithin,0.7701,0.5111,0,0.2942
7,84,exp_46,1.0,0.41031499952077866,0.48,0.6,1.0,0.4,0.81,0.79,0.0,0.16999999999999996,0.0,TwoStageWithin,0.4124,0.0274,1,0.6391
8,84,exp_82,0.0,0.36896999925374985,0.29,0.4,0.0,0.6,0.61,0.8099999999999999,0.0,0.22000000000000003,1.0,TwoStageWithin,0.6514,0.1753,0,0.4996
9,84,exp_68,1.0,0.41157500073313713,0.51,0.6,0.0,0.4,0.72,0.52,0.0,0.42000000000000004,0.0,TwoStageWithin,0.742,0.6676,1,2.4951
10,84,exp_18,1.0,0.7415850004181266,0.17,0.4,0.0,0.6,0.28,0.8300000000000001,0.0,0.43,0.0,TwoStageWithin,0.7617,0.4051,1,0.9875
11,84,exp_26,1.0,0.5597049994394183,0.17,0.4,0.0,0.6,0.3,0.3,0.0,0.2,0.0,TwoStageWithin,0.7702,0.5093,0,0.3618
12,84,exp_117,0.0,1.022854999639094,0.22,0.5,0.0,0.5,0.49,0.79,1.0,0.42000000000000004,1.0,TwoStageWithin,0.7167,0.7273,1,0.5348
13,84,exp_115,0.0,0.4382150005549192,0.22,0.5,0.0,0.5,0.49,0.79,1.0,0.42000000000000004,1.0,TwoStageWithin,0.7167,0.7273,1,0.3339
14,84,catch_4,1.0,0.4515499994158745,0.31,0.5,1.0,0.5,0.19,0.73,0.0,0.4,0.0,TwoStageWithin,0.5342,0.0792,0,0.2462
15,84,catch_0,1.0,0.385559999383986,0.72,0.5,1.0,0.5,0.19,0.3,0.0,0.2,0.0,TwoStageWithin,0.4141,0.0279,0,0.3337
16,84,exp_59,0.0,1.6322649996727705,0.21,0.5,0.0,0.5,0.41,0.62,1.0,0.18,1.0,TwoStageWithin,0.7349,0.3118,0,0.8029
17,84,exp_57,1.0,0.5925200004130602,0.21,0.5,1.0,0.5,0.41,0.62,1.0,0.18,0.0,TwoStageWithin,0.7349,0.3118,0,0.8247
18,84,exp_80,1.0,1.5506549999117851,0.29,0.4,1.0,0.6,0.61,0.8099999999999999,0.0,0.22000000000000003,0.0,TwoStageWithin,0.7072,0.2538,1,0.6541
19,84,exp_3,0.0,0.4325750004500151,0.49,0.5,0.0,0.5,0.79,0.8300000000000001,1.0,0.53,1.0,TwoStageWithin,0.7363,0.6832,0,0.2848
20,84,exp_52,0.0,0.4006500001996756,0.32,0.6,0.0,0.4,0.49,0.82,0.0,0.6900000000000001,1.0,TwoStageWithin,0.6782,0.7905,1,0.3411
21,84,catch_5,1.0,0.4691749997437,0.49,0.5,1.0,0.5,0.4,0.43,1.0,0.32,0.0,TwoStageWithin,0.649,0.1726,0,0.2834
22,84,exp_22,1.0,0.10930499993264677,0.17,0.6,1.0,0.4,0.28,0.8300000000000001,0.0,0.43,0.0,TwoStageWithin,0.7698,0.5214,1,1.4826
23,84,exp_102,0.0,0.3680500006303191,0.38,0.6,1.0,0.4,0.58,0.6900000000000001,0.0,0.49000000000000005,1.0,TwoStageWithin,0.7207,0.7192,1,0.1342
24,84,exp_35,1.0,0.6638450007885695,0.7,0.5,0.0,0.5,0.79,0.32,1.0,0.2,0.0,TwoStageWithin,0.6985,0.239,0,0.8662
25,84,exp_1,1.0,1.2139849998056889,0.49,0.5,1.0,0.5,0.79,0.8300000000000001,1.0,0.53,0.0,TwoStageWithin,0.7363,0.6832,1,0.8276
26,84,exp_90,0.0,0.13990999944508076,0.38,0.4,0.0,0.6,0.5,0.4,0.0,0.3,1.0,TwoStageWithin,0.7691,0.4648,0,0.4302
27,84,exp_43,1.0,0.19601500034332275,0.48,0.5,0.0,0.5,0.81,0.79,1.0,0.16999999999999996,0.0,TwoStageWithin,0.3915,0.0218,0,0.2097
28,84,exp_98,1.0,0.35354499984532595,0.38,0.4,0.0,0.6,0.58,0.6900000000000001,0.0,0.49000000000000005,0.0,TwoStageWithin,0.7571,0.6151,1,0.3103
29,84,catch_9,1.0,0.5309899998828769,0.72,0.5,1.0,0.5,0.48,0.4,1.0,0.18,0.0,TwoStageWithin,0.3813,0.0193,0,0.1945
30,84,exp_89,0.0,0.4732149997726083,0.38,0.5,1.0,0.5,0.5,0.4,1.0,0.3,1.0,TwoStageWithin,0.7697,0.5235,1,0.4077
31,84,exp_91,0.0,0.2596699995920062,0.38,0.5,0.0,0.5,0.5,0.4,1.0,0.3,1.0,TwoStageWithin,0.7697,0.5235,1,0.3048
32,84,exp_107,0.0,0.40288500022143126,0.4,0.5,0.0,0.5,0.78,0.3,1.0,0.21000000000000002,1.0,TwoStageWithin,0.6999,0.7578,1,0.8304
33,84,exp_50,0.0,0.3980350000783801,0.32,0.4,0.0,0.6,0.49,0.82,0.0,0.6900000000000001,1.0,TwoStageWithin,0.6782,0.7905,1,0.6134
34,84,exp_84,1.0,1.3861650004982948,0.29,0.6,0.0,0.4,0.61,0.8099999999999999,0.0,0.22000000000000003,0.0,TwoStageWithin,0.6514,0.1753,0,0.7813
35,84,catch_8,1.0,0.3746400000527501,0.32,0.5,1.0,0.5,0.22,0.5,0.0,0.37,0.0,TwoStageWithin,0.6873,0.2217,0,0.9556
36,84,exp_67,0.0,0.4787699999287725,0.51,0.5,0.0,0.5,0.72,0.52,1.0,0.42000000000000004,1.0,TwoStageWithin,0.7214,0.7177,1,0.3732
37,84,exp_10,0.0,0.6385700004175305,0.29,0.4,0.0,0.6,0.7,0.5,0.0,0.18,1.0,TwoStageWithin,0.7682,0.4525,1,1.6959
38,84,exp_8,0.0,0.6195550002157688,0.29,0.4,1.0,0.6,0.7,0.5,0.0,0.18,1.0,TwoStageWithin,0.7655,0.5695,1,0.7065
39,84,exp_40,1.0,0.6108949994668365,0.48,0.4,1.0,0.6,0.81,0.79,0.0,0.16999999999999996,0.0,TwoStageWithin,0.4124,0.0274,0,0.4408
40,84,exp_19,1.0,0.5475700004026294,0.17,0.5,0.0,0.5,0.28,0.8300000000000001,1.0,0.43,0.0,TwoStageWithin,0.769,0.4627,1,0.7257
41,84,exp_116,1.0,0.6549000004306436,0.22,0.6,0.0,0.4,0.49,0.79,0.0,0.42000000000000004,0.0,TwoStageWithin,0.7382,0.6781,1,0.1387
42,84,catch_3,1.0,0.5412750001996756,0.38,0.5,1.0,0.5,0.19,0.6799999999999999,1.0,0.58,0.0,TwoStageWithin,0.4963,0.0591,0,0.1824
43,84,exp_58,1.0,0.34066000021994114,0.21,0.4,0.0,0.6,0.41,0.62,0.0,0.18,0.0,TwoStageWithin,0.7127,0.2637,0,1.1423
44,84,exp_99,0.0,0.4708899995312095,0.38,0.5,0.0,0.5,0.58,0.6900000000000001,1.0,0.49000000000000005,1.0,TwoStageWithin,0.7415,0.6692,1,0.1565
45,84,exp_104,0.0,0.5551749998703599,0.4,0.4,1.0,0.6,0.78,0.3,0.0,0.21000000000000002,1.0,TwoStageWithin,0.6724,0.7985,0,0.8304
46,84,exp_20,1.0,0.9542249999940396,0.17,0.6,0.0,0.4,0.28,0.8300000000000001,0.0,0.43,0.0,TwoStageWithin,0.7617,0.4051,0,0.3692
47,84,exp_25,0.0,0.8535100007429719,0.17,0.5,1.0,0.5,0.3,0.3,1.0,0.2,1.0,TwoStageWithin,0.7657,0.5677,1,0.6826
48,84,catch_6,1.0,0.3015800006687641,0.59,0.5,1.0,0.5,0.23,0.27,0.0,0.19,0.0,TwoStageWithin,0.5605,0.0957,0,0.8411
49,84,catch_1,1.0,0.3034149995073676,0.41,0.5,1.0,0.5,0.29,0.5900000000000001,1.0,0.42000000000000004,0.0,TwoStageWithin,0.5654,0.099,0,0.3329
50,84,exp_114,0.0,1.8021800005808475,0.22,0.4,0.0,0.6,0.49,0.79,0.0,0.42000000000000004,1.0,TwoStageWithin,0.7382,0.6781,1,1.2052
51,84,exp_23,1.0,0.45974000077694654,0.17,0.5,1.0,0.5,0.28,0.8300000000000001,1.0,0.43,0.0,TwoStageWithin,0.769,0.4627,0,0.2789
52,84,exp_37,1.0,0.6628050003200769,0.7,0.5,0.0,0.5,0.79,0.32,1.0,0.2,0.0,TwoStageWithin,0.6985,0.239,0,0.4284
53,84,exp_53,0.0,0.3850899999961257,0.32,0.5,0.0,0.5,0.49,0.82,1.0,0.6900000000000001,1.0,TwoStageWithin,0.6489,0.827,1,1.3204
54,84,exp_45,1.0,0.5455550001934171,0.48,0.5,0.0,0.5,0.81,0.79,1.0,0.16999999999999996,0.0,TwoStageWithin,0.3915,0.0218,0,0.2684
55,84,exp_113,0.0,0.4250999996438623,0.22,0.5,1.0,0.5,0.49,0.79,1.0,0.42000000000000004,1.0,TwoStageWithin,0.7167,0.7273,0,0.9941
56,84,exp_73,0.0,0.4351249998435378,0.2,0.5,1.0,0.5,0.8,0.6799999999999999,1.0,0.4,1.0,TwoStageWithin,0.374,0.9823,1,0.2752
57,84,exp_36,1.0,0.5939999995753169,0.7,0.6,0.0,0.4,0.79,0.32,0.0,0.2,0.0,TwoStageWithin,0.6709,0.1989,0,1.7764
58,84,exp_47,1.0,0.4362000003457069,0.48,0.5,1.0,0.5,0.81,0.79,1.0,0.16999999999999996,0.0,TwoStageWithin,0.3915,0.0218,0,0.2755
59,84,exp_101,0.0,0.5979899996891618,0.38,0.5,0.0,0.5,0.58,0.6900000000000001,1.0,0.49000000000000005,1.0,TwoStageWithin,0.7415,0.6692,0,2.3968
