,subject_id,condition,choice,rt,p1,g1,last_stage_favours,g0,p0,m1,presentation01,m0,choice_formatted,model,pred_mean_rt,pred_p_choose_0,pred_choice,pred_rt
0,50,catch_1,1.0,0.38969999998807914,0.41,0.5,1.0,0.5,0.29,0.5900000000000001,1.0,0.42000000000000004,0.0,TwoStageWithin,0.4874,0.0744,0,0.3806
1,50,exp_1,1.0,0.533,0.49,0.5,1.0,0.5,0.79,0.8300000000000001,1.0,0.53,0.0,TwoStageWithin,0.3869,0.0289,0,0.8959
2,50,exp_113,1.0,0.40369999998807915,0.22,0.5,1.0,0.5,0.49,0.79,1.0,0.42000000000000004,0.0,TwoStageWithin,0.6022,0.1725,0,1.2534
3,50,exp_59,1.0,0.49590000000596046,0.21,0.5,0.0,0.5,0.41,0.62,1.0,0.18,0.0,TwoStageWithin,0.5649,0.133,0,0.3473
4,50,catch_7,1.0,0.33530000001192095,0.48,0.5,1.0,0.5,0.28,0.52,1.0,0.21000000000000002,0.0,TwoStageWithin,0.4196,0.0406,0,0.5981
5,50,exp_91,1.0,0.31030000001192093,0.38,0.5,0.0,0.5,0.5,0.4,1.0,0.3,0.0,TwoStageWithin,0.7057,0.3903,0,0.6648
6,50,catch_0,1.0,0.3808000000119209,0.72,0.5,1.0,0.5,0.19,0.3,0.0,0.2,0.0,TwoStageWithin,0.5511,0.1206,0,1.4285
7,50,exp_47,1.0,0.26159999999403954,0.48,0.5,1.0,0.5,0.81,0.79,1.0,0.16999999999999996,0.0,TwoStageWithin,0.1853,0.0004,0,0.1965
8,50,exp_94,0.0,0.3670999999940395,0.38,0.6,1.0,0.4,0.5,0.4,0.0,0.3,1.0,TwoStageWithin,0.661,0.2615,1,1.0773
9,50,exp_115,1.0,0.34440000000596044,0.22,0.5,0.0,0.5,0.49,0.79,1.0,0.42000000000000004,0.0,TwoStageWithin,0.6022,0.1725,0,1.087
10,50,exp_40,1.0,0.29660000002384185,0.48,0.4,1.0,0.6,0.81,0.79,0.0,0.16999999999999996,0.0,TwoStageWithin,0.1773,0.0003,0,0.1066
11,50,catch_6,1.0,0.274,0.59,0.5,1.0,0.5,0.23,0.27,0.0,0.19,0.0,TwoStageWithin,0.6207,0.1961,0,0.7685
12,50,exp_23,1.0,0.30989999997615814,0.17,0.5,1.0,0.5,0.28,0.8300000000000001,1.0,0.43,0.0,TwoStageWithin,0.5589,0.1275,0,0.5136
13,50,exp_3,1.0,0.32409999999403954,0.49,0.5,0.0,0.5,0.79,0.8300000000000001,1.0,0.53,0.0,TwoStageWithin,0.3869,0.0289,0,0.2409
14,50,catch_2,1.0,0.4674000000059605,0.6,0.5,1.0,0.5,0.38,0.4,0.0,0.22000000000000003,0.0,TwoStageWithin,0.4807,0.0704,0,0.1008
15,50,exp_101,1.0,0.28669999998807905,0.38,0.5,0.0,0.5,0.58,0.6900000000000001,1.0,0.49000000000000005,0.0,TwoStageWithin,0.6359,0.2181,0,0.3234
16,50,exp_107,1.0,0.27920000001788137,0.4,0.5,0.0,0.5,0.78,0.3,1.0,0.21000000000000002,0.0,TwoStageWithin,0.7164,0.4815,1,0.3907
17,50,exp_73,1.0,0.44459999999403954,0.2,0.5,1.0,0.5,0.8,0.6799999999999999,1.0,0.4,0.0,TwoStageWithin,0.6834,0.6866,1,0.2254
18,50,exp_35,1.0,0.40420000001788137,0.7,0.5,0.0,0.5,0.79,0.32,1.0,0.2,0.0,TwoStageWithin,0.6592,0.2582,0,0.4719
19,50,exp_74,0.0,0.315,0.2,0.4,0.0,0.6,0.8,0.6799999999999999,0.0,0.4,1.0,TwoStageWithin,0.6168,0.8088,1,0.3188
