,subject_id,condition,choice,rt,p1,g1,last_stage_favours,g0,p0,m1,presentation01,m0,choice_formatted,model,pred_mean_rt,pred_p_choose_0,pred_choice,pred_rt
0,155,exp_29,0.0,0.37140000000002327,0.17,0.5,0.0,0.5,0.3,0.3,1.0,0.2,1.0,TwoStageWithin,0.5994,0.708,1,0.2049
1,155,exp_116,0.0,0.38679999999998843,0.22,0.6,0.0,0.4,0.49,0.79,0.0,0.42000000000000004,1.0,TwoStageWithin,0.385,0.953,1,0.9535
2,155,exp_9,0.0,0.3042999999999884,0.29,0.5,1.0,0.5,0.7,0.5,1.0,0.18,1.0,TwoStageWithin,0.4285,0.9278,1,0.1183
3,155,catch_9,1.0,0.45329999999998843,0.72,0.5,1.0,0.5,0.48,0.4,1.0,0.18,0.0,TwoStageWithin,0.3955,0.0524,0,0.2245
4,155,exp_25,1.0,0.4,0.17,0.5,1.0,0.5,0.3,0.3,1.0,0.2,0.0,TwoStageWithin,0.5994,0.708,1,0.1892
5,155,exp_78,0.0,0.26109999999997674,0.2,0.6,1.0,0.4,0.8,0.6799999999999999,0.0,0.4,1.0,TwoStageWithin,0.284,0.9878,1,0.4671
6,155,exp_82,0.0,0.473,0.29,0.4,0.0,0.6,0.61,0.8099999999999999,0.0,0.22000000000000003,1.0,TwoStageWithin,0.4239,0.9309,1,0.1339
7,155,catch_4,1.0,0.25130000000004654,0.31,0.5,1.0,0.5,0.19,0.73,0.0,0.4,0.0,TwoStageWithin,0.4515,0.0887,1,0.3055
8,155,exp_64,0.0,0.4505,0.51,0.4,1.0,0.6,0.72,0.52,0.0,0.42000000000000004,1.0,TwoStageWithin,0.6009,0.704,1,0.3859
9,155,exp_69,0.0,0.3817999999999884,0.51,0.5,0.0,0.5,0.72,0.52,1.0,0.42000000000000004,1.0,TwoStageWithin,0.5195,0.8456,1,0.62
10,155,exp_27,1.0,0.3632999999999884,0.17,0.5,0.0,0.5,0.3,0.3,1.0,0.2,0.0,TwoStageWithin,0.5994,0.708,0,0.686
11,155,catch_8,1.0,0.07789999999996508,0.32,0.5,1.0,0.5,0.22,0.5,0.0,0.37,0.0,TwoStageWithin,0.4949,0.1272,0,0.7892
12,155,exp_115,0.0,0.2935,0.22,0.5,0.0,0.5,0.49,0.79,1.0,0.42000000000000004,1.0,TwoStageWithin,0.4679,0.898,1,0.1263
