,subject_id,condition,choice,rt,m1,p1,m0,last_stage_favours,presentation01,g1,g0,p0,choice_formatted,model,pred_mean_rt,pred_p_choose_0,pred_choice,pred_rt
0,13-alternatives,exp_40,1.0,0.34819999998807905,0.79,0.48,0.16999999999999996,1.0,0.0,0.4,0.6,0.81,0.0,TwoStageWithin,0.2873,0.0112,0,0.2036
1,13-alternatives,exp_104,0.0,0.556,0.3,0.4,0.21000000000000002,1.0,0.0,0.4,0.6,0.78,1.0,TwoStageWithin,0.6319,0.3359,0,0.468
2,13-alternatives,exp_102,1.0,0.692,0.6900000000000001,0.38,0.49000000000000005,1.0,0.0,0.6,0.4,0.58,0.0,TwoStageWithin,0.5169,0.1348,0,0.3663
3,13-alternatives,catch_4,1.0,0.4022000000476837,0.73,0.31,0.4,1.0,0.0,0.5,0.5,0.19,0.0,TwoStageWithin,0.4271,0.0636,0,0.179
4,13-alternatives,exp_22,1.0,0.4189000000357628,0.8300000000000001,0.17,0.43,1.0,0.0,0.6,0.4,0.28,0.0,TwoStageWithin,0.4983,0.1166,0,0.6551
5,13-alternatives,exp_114,1.0,0.4960999999642372,0.79,0.22,0.42000000000000004,0.0,0.0,0.4,0.6,0.49,0.0,TwoStageWithin,0.6553,0.4865,0,0.4499
6,13-alternatives,exp_60,1.0,0.4658999999761581,0.62,0.21,0.18,0.0,0.0,0.6,0.4,0.41,0.0,TwoStageWithin,0.6473,0.4022,1,0.5927
7,13-alternatives,exp_18,1.0,0.318,0.8300000000000001,0.17,0.43,0.0,0.0,0.4,0.6,0.28,0.0,TwoStageWithin,0.6522,0.4382,0,0.2043
8,13-alternatives,exp_10,0.0,0.8045,0.5,0.29,0.18,0.0,0.0,0.4,0.6,0.7,1.0,TwoStageWithin,0.6551,0.5173,1,0.215
9,13-alternatives,exp_36,0.0,0.672800000011921,0.32,0.7,0.2,0.0,0.0,0.6,0.4,0.79,1.0,TwoStageWithin,0.6548,0.5273,1,0.4794
10,13-alternatives,exp_20,1.0,0.2816999999880791,0.8300000000000001,0.17,0.43,0.0,0.0,0.6,0.4,0.28,0.0,TwoStageWithin,0.6332,0.3405,1,0.3557
11,13-alternatives,exp_94,1.0,0.5758999999761582,0.4,0.38,0.3,1.0,0.0,0.6,0.4,0.5,0.0,TwoStageWithin,0.6054,0.2654,0,0.5081
12,13-alternatives,exp_74,0.0,0.2651000000238419,0.6799999999999999,0.2,0.4,0.0,0.0,0.4,0.6,0.8,1.0,TwoStageWithin,0.5964,0.7528,0,0.2378
13,13-alternatives,catch_8,1.0,0.5590999999642372,0.5,0.32,0.37,1.0,0.0,0.5,0.5,0.22,0.0,TwoStageWithin,0.5735,0.2069,0,0.9351
14,13-alternatives,catch_6,1.0,0.26330000001192094,0.27,0.59,0.19,1.0,0.0,0.5,0.5,0.23,0.0,TwoStageWithin,0.6032,0.2608,0,0.3099
15,13-alternatives,exp_90,0.0,0.24530000001192093,0.4,0.38,0.3,0.0,0.0,0.4,0.6,0.5,1.0,TwoStageWithin,0.6397,0.6343,1,0.3093
16,13-alternatives,exp_58,1.0,0.4359000000357628,0.62,0.21,0.18,0.0,0.0,0.4,0.6,0.41,0.0,TwoStageWithin,0.6536,0.4536,0,0.7528
17,13-alternatives,exp_98,1.0,0.677,0.6900000000000001,0.38,0.49000000000000005,0.0,0.0,0.4,0.6,0.58,0.0,TwoStageWithin,0.6521,0.5618,0,0.3155
18,13-alternatives,exp_96,0.0,0.6365,0.6900000000000001,0.38,0.49000000000000005,1.0,0.0,0.4,0.6,0.58,1.0,TwoStageWithin,0.5964,0.247,0,0.1645
19,13-alternatives,exp_80,1.0,1.342,0.8099999999999999,0.29,0.22000000000000003,1.0,0.0,0.4,0.6,0.61,0.0,TwoStageWithin,0.4014,0.0496,0,1.42
20,13-alternatives,catch_2,1.0,0.2965,0.4,0.6,0.22000000000000003,1.0,0.0,0.5,0.5,0.38,0.0,TwoStageWithin,0.5437,0.1653,0,0.7225
21,13-alternatives,exp_68,0.0,0.3200999999642372,0.52,0.51,0.42000000000000004,0.0,0.0,0.6,0.4,0.72,1.0,TwoStageWithin,0.6543,0.5357,0,2.0296
22,13-alternatives,catch_0,1.0,0.5017999999523163,0.3,0.72,0.2,1.0,0.0,0.5,0.5,0.19,0.0,TwoStageWithin,0.5791,0.2158,0,0.5839
23,13-alternatives,exp_88,0.0,0.6773000000119209,0.4,0.38,0.3,1.0,0.0,0.4,0.6,0.5,1.0,TwoStageWithin,0.6225,0.3072,1,0.219
24,13-alternatives,exp_78,1.0,0.797,0.6799999999999999,0.2,0.4,1.0,0.0,0.6,0.4,0.8,0.0,TwoStageWithin,0.6283,0.3243,0,1.7828
25,13-alternatives,exp_64,0.0,0.5251999999880791,0.52,0.51,0.42000000000000004,1.0,0.0,0.4,0.6,0.72,1.0,TwoStageWithin,0.6337,0.342,0,0.1734
26,13-alternatives,exp_108,1.0,1.0877999999523165,0.3,0.4,0.21000000000000002,0.0,0.0,0.6,0.4,0.78,0.0,TwoStageWithin,0.6391,0.6367,0,2.2321
27,13-alternatives,exp_50,1.0,0.3030999999642372,0.82,0.32,0.6900000000000001,0.0,0.0,0.4,0.6,0.49,0.0,TwoStageWithin,0.5767,0.7878,1,0.388
28,13-alternatives,exp_30,1.0,0.34289999997615817,0.3,0.17,0.2,1.0,0.0,0.6,0.4,0.3,0.0,TwoStageWithin,0.6266,0.3192,1,0.8094
29,13-alternatives,exp_82,1.0,0.2574000000357628,0.8099999999999999,0.29,0.22000000000000003,0.0,0.0,0.4,0.6,0.61,0.0,TwoStageWithin,0.5471,0.1695,0,0.16
30,13-alternatives,exp_116,1.0,0.514,0.79,0.22,0.42000000000000004,0.0,0.0,0.6,0.4,0.49,0.0,TwoStageWithin,0.638,0.3581,0,0.5787
31,13-alternatives,exp_8,0.0,0.5206000000238419,0.5,0.29,0.18,1.0,0.0,0.4,0.6,0.7,1.0,TwoStageWithin,0.5786,0.2151,0,1.0786
32,13-alternatives,exp_84,1.0,0.6601999999880791,0.8099999999999999,0.29,0.22000000000000003,0.0,0.0,0.6,0.4,0.61,0.0,TwoStageWithin,0.4866,0.1062,0,0.9391
33,13-alternatives,exp_42,1.0,0.34869999998807905,0.79,0.48,0.16999999999999996,0.0,0.0,0.4,0.6,0.81,0.0,TwoStageWithin,0.3867,0.0425,0,0.9693
34,13-alternatives,exp_46,1.0,0.2666999999880791,0.79,0.48,0.16999999999999996,1.0,0.0,0.6,0.4,0.81,0.0,TwoStageWithin,0.2466,0.0051,0,0.2962
35,13-alternatives,exp_52,0.0,0.43410000002384186,0.82,0.32,0.6900000000000001,0.0,0.0,0.6,0.4,0.49,1.0,TwoStageWithin,0.6537,0.545,0,0.9909
36,13-alternatives,exp_26,0.0,0.4395,0.3,0.17,0.2,0.0,0.0,0.4,0.6,0.3,1.0,TwoStageWithin,0.6336,0.6577,0,0.3196
37,13-alternatives,exp_16,1.0,0.282,0.8300000000000001,0.17,0.43,1.0,0.0,0.4,0.6,0.28,0.0,TwoStageWithin,0.5445,0.1663,0,0.444
38,13-alternatives,catch_16,1.0,0.6849000000357628,0.78,0.37,0.6799999999999999,1.0,0.0,0.5,0.5,0.32,0.0,TwoStageWithin,0.511,0.1288,1,0.7434
39,13-alternatives,exp_2,0.0,0.23019999998807908,0.8300000000000001,0.49,0.53,0.0,0.0,0.4,0.6,0.79,1.0,TwoStageWithin,0.6202,0.3011,1,0.5235
40,13-alternatives,catch_18,1.0,0.2197000000476837,0.38,0.37,0.31,1.0,0.0,0.5,0.5,0.19,0.0,TwoStageWithin,0.5982,0.2505,0,0.2546
41,13-alternatives,exp_12,0.0,0.3858999999761581,0.5,0.29,0.18,0.0,0.0,0.6,0.4,0.7,1.0,TwoStageWithin,0.6546,0.4691,1,0.7387
42,13-alternatives,catch_10,1.0,0.4078999999761581,0.32,0.51,0.16999999999999996,1.0,0.0,0.5,0.5,0.31,0.0,TwoStageWithin,0.5917,0.238,0,1.1711
43,13-alternatives,exp_106,0.0,0.324,0.3,0.4,0.21000000000000002,0.0,0.0,0.4,0.6,0.78,1.0,TwoStageWithin,0.6317,0.6643,1,0.2587
44,13-alternatives,exp_72,1.0,1.633100000023842,0.6799999999999999,0.2,0.4,1.0,0.0,0.4,0.6,0.8,0.0,TwoStageWithin,0.6521,0.4376,1,1.7698
45,13-alternatives,exp_110,0.0,0.3,0.3,0.4,0.21000000000000002,1.0,0.0,0.6,0.4,0.78,1.0,TwoStageWithin,0.6233,0.3095,1,1.3874
46,13-alternatives,exp_6,1.0,0.6141999999880791,0.8300000000000001,0.49,0.53,1.0,0.0,0.6,0.4,0.79,0.0,TwoStageWithin,0.3475,0.027,0,0.3293
47,13-alternatives,exp_62,1.0,0.3761999999880791,0.62,0.21,0.18,1.0,0.0,0.6,0.4,0.41,0.0,TwoStageWithin,0.528,0.1468,0,0.8534
48,13-alternatives,exp_0,1.0,0.5096999999880791,0.8300000000000001,0.49,0.53,1.0,0.0,0.4,0.6,0.79,0.0,TwoStageWithin,0.4781,0.0992,0,0.0936
