,subject_id,condition,choice,rt,presentation01,p0,p1,g1,last_stage_favours,m1,m0,g0,choice_formatted,model,pred_mean_rt,pred_p_choose_0,pred_choice,pred_rt
0,28-attributes,exp_3,1.0,0.709,1.0,0.79,0.49,0.5,0.0,0.8300000000000001,0.53,0.5,0.0,TwoStageWithin,0.7189,0.7949,0,0.3992
1,28-attributes,catch_9,1.0,0.544,1.0,0.48,0.72,0.5,1.0,0.4,0.18,0.5,0.0,TwoStageWithin,0.327,0.0066,0,0.3297
2,28-attributes,exp_29,0.0,0.41760000002384184,1.0,0.3,0.17,0.5,0.0,0.3,0.2,0.5,1.0,TwoStageWithin,0.8067,0.6068,1,1.7728
3,28-attributes,exp_101,0.0,0.5748000000119209,1.0,0.58,0.38,0.5,0.0,0.6900000000000001,0.49000000000000005,0.5,1.0,TwoStageWithin,0.7494,0.7505,1,0.7344
4,28-attributes,exp_19,1.0,1.1479000000357629,1.0,0.28,0.17,0.5,0.0,0.8300000000000001,0.43,0.5,0.0,TwoStageWithin,0.8186,0.4966,1,0.5549
5,28-attributes,exp_37,0.0,1.6425,1.0,0.79,0.7,0.5,0.0,0.32,0.2,0.5,1.0,TwoStageWithin,0.7184,0.2034,0,0.6734
6,28-attributes,exp_91,0.0,0.38260000002384187,1.0,0.5,0.38,0.5,0.0,0.4,0.3,0.5,1.0,TwoStageWithin,0.8151,0.5569,0,1.1464
7,28-attributes,exp_23,1.0,0.9090999999642372,1.0,0.28,0.17,0.5,1.0,0.8300000000000001,0.43,0.5,0.0,TwoStageWithin,0.8186,0.4966,1,0.62
8,28-attributes,catch_1,1.0,0.2915,1.0,0.29,0.41,0.5,1.0,0.5900000000000001,0.42000000000000004,0.5,0.0,TwoStageWithin,0.5334,0.0608,0,0.4315
9,28-attributes,exp_117,0.0,0.6966999999880791,1.0,0.49,0.22,0.5,0.0,0.79,0.42000000000000004,0.5,1.0,TwoStageWithin,0.6979,0.8199,0,1.5027
10,28-attributes,exp_25,0.0,0.8328000000119209,1.0,0.3,0.17,0.5,1.0,0.3,0.2,0.5,1.0,TwoStageWithin,0.8067,0.6068,1,0.2809
11,28-attributes,exp_9,0.0,0.6645999999642372,1.0,0.7,0.29,0.5,1.0,0.5,0.18,0.5,1.0,TwoStageWithin,0.8085,0.5985,0,1.2966
12,28-attributes,exp_59,1.0,0.4588999999761581,1.0,0.41,0.21,0.5,0.0,0.62,0.18,0.5,0.0,TwoStageWithin,0.7838,0.3164,1,0.5451
