,subject_id,condition,choice,rt,presentation01,p0,p1,g1,last_stage_favours,m1,m0,g0,choice_formatted,model,pred_mean_rt,pred_p_choose_0,pred_choice,pred_rt
0,29-alternatives,exp_50,0.0,0.6001000000238419,0.0,0.49,0.32,0.4,0.0,0.82,0.6900000000000001,0.6,1.0,TwoStageWithin,0.8614,0.8225,1,0.1711
1,29-alternatives,exp_18,1.0,0.61,0.0,0.28,0.17,0.4,0.0,0.8300000000000001,0.43,0.6,0.0,TwoStageWithin,1.0014,0.5167,1,1.949
2,29-alternatives,exp_90,1.0,1.8665,0.0,0.5,0.38,0.4,0.0,0.4,0.3,0.6,0.0,TwoStageWithin,0.9972,0.5605,0,0.588
3,29-alternatives,exp_82,1.0,1.777600000023842,0.0,0.61,0.29,0.4,0.0,0.8099999999999999,0.22000000000000003,0.6,0.0,TwoStageWithin,1.0016,0.5133,0,2.6066
4,29-alternatives,exp_88,0.0,0.6738999999761581,0.0,0.5,0.38,0.4,1.0,0.4,0.3,0.6,1.0,TwoStageWithin,0.9114,0.7665,1,3.0452
5,29-alternatives,catch_6,1.0,0.7546000000238419,0.0,0.23,0.59,0.5,1.0,0.27,0.19,0.5,0.0,TwoStageWithin,0.7395,0.091,0,0.2094
6,29-alternatives,exp_108,1.0,0.5760999999642372,0.0,0.78,0.4,0.6,0.0,0.3,0.21000000000000002,0.4,0.0,TwoStageWithin,0.9403,0.7232,0,0.4206
7,29-alternatives,exp_64,1.0,0.5254000000357628,0.0,0.72,0.51,0.4,1.0,0.52,0.42000000000000004,0.6,0.0,TwoStageWithin,0.7396,0.9079,1,1.1016
8,29-alternatives,exp_102,0.0,0.610300000011921,0.0,0.58,0.38,0.6,1.0,0.6900000000000001,0.49000000000000005,0.4,1.0,TwoStageWithin,0.9117,0.7661,1,1.3192
9,29-alternatives,exp_60,1.0,0.42080000001192086,0.0,0.41,0.21,0.6,0.0,0.62,0.18,0.4,0.0,TwoStageWithin,0.9751,0.3418,0,1.1373
10,29-alternatives,exp_78,0.0,0.549,0.0,0.8,0.2,0.6,1.0,0.6799999999999999,0.4,0.4,1.0,TwoStageWithin,0.4423,0.9904,1,0.3752
11,29-alternatives,exp_8,0.0,0.4518999999761581,0.0,0.7,0.29,0.4,1.0,0.5,0.18,0.6,1.0,TwoStageWithin,0.8023,0.8704,1,0.5399
12,29-alternatives,exp_30,0.0,0.615300000011921,0.0,0.3,0.17,0.6,1.0,0.3,0.2,0.4,1.0,TwoStageWithin,0.9539,0.6982,1,0.2082
13,29-alternatives,exp_58,0.0,0.5905,0.0,0.41,0.21,0.4,0.0,0.62,0.18,0.6,1.0,TwoStageWithin,0.9986,0.4393,0,1.3218
14,29-alternatives,catch_4,1.0,0.5865,0.0,0.19,0.31,0.5,1.0,0.73,0.4,0.5,0.0,TwoStageWithin,0.8635,0.1757,0,2.1192
15,29-alternatives,exp_116,0.0,0.5586000000238418,0.0,0.49,0.22,0.6,0.0,0.79,0.42000000000000004,0.4,1.0,TwoStageWithin,0.9592,0.6873,1,0.5086
16,29-alternatives,exp_40,1.0,0.43560000002384186,0.0,0.81,0.48,0.4,1.0,0.79,0.16999999999999996,0.6,0.0,TwoStageWithin,0.9843,0.3696,0,1.8003
17,29-alternatives,catch_2,1.0,0.4519000000357628,0.0,0.38,0.6,0.5,1.0,0.4,0.22000000000000003,0.5,0.0,TwoStageWithin,0.7418,0.0922,0,0.2793
18,29-alternatives,exp_10,1.0,0.7291000000238419,0.0,0.7,0.29,0.4,0.0,0.5,0.18,0.6,0.0,TwoStageWithin,0.9416,0.7209,0,1.5646
19,29-alternatives,exp_68,1.0,0.7598999999761581,0.0,0.72,0.51,0.6,0.0,0.52,0.42000000000000004,0.4,0.0,TwoStageWithin,0.9952,0.573,0,0.2425
20,29-alternatives,catch_8,1.0,0.5335,0.0,0.22,0.32,0.5,1.0,0.5,0.37,0.5,0.0,TwoStageWithin,0.9607,0.3076,1,0.6064
21,29-alternatives,exp_94,0.0,2.193800000011921,0.0,0.5,0.38,0.6,1.0,0.4,0.3,0.4,1.0,TwoStageWithin,0.9797,0.6352,0,2.7106
22,29-alternatives,exp_80,1.0,0.5917999999523162,0.0,0.61,0.29,0.4,1.0,0.8099999999999999,0.22000000000000003,0.6,0.0,TwoStageWithin,0.9361,0.7302,1,1.5231
23,29-alternatives,exp_114,0.0,0.4756999999880791,0.0,0.49,0.22,0.4,0.0,0.79,0.42000000000000004,0.6,1.0,TwoStageWithin,0.877,0.807,1,0.2598
24,29-alternatives,exp_22,1.0,2.1386000000238417,0.0,0.28,0.17,0.6,1.0,0.8300000000000001,0.43,0.4,0.0,TwoStageWithin,0.9773,0.6426,0,1.2714
25,29-alternatives,catch_0,1.0,0.6258999999761582,0.0,0.19,0.72,0.5,1.0,0.3,0.2,0.5,0.0,TwoStageWithin,0.5389,0.0244,0,0.5157
26,29-alternatives,exp_36,0.0,0.418,0.0,0.79,0.7,0.6,0.0,0.32,0.2,0.4,1.0,TwoStageWithin,0.8601,0.1726,0,0.6812
