,subject_id,condition,choice,rt,m1,p1,m0,last_stage_favours,presentation01,g1,g0,p0,choice_formatted,model,pred_mean_rt,pred_p_choose_0,pred_choice,pred_rt
0,132-attributes,exp_67,0.0,0.8245999999642372,0.52,0.51,0.42000000000000004,0.0,1.0,0.5,0.5,0.72,1.0,TwoStageWithin,1.0619,0.6069,1.0,0.7568
1,132-attributes,exp_73,0.0,0.806800000011921,0.6799999999999999,0.2,0.4,1.0,1.0,0.5,0.5,0.8,1.0,TwoStageWithin,0.6896,0.9515,1.0,0.7828
2,132-attributes,exp_29,1.0,0.8140999999642372,0.3,0.17,0.2,0.0,1.0,0.5,0.5,0.3,0.0,TwoStageWithin,1.0766,0.5111,1.0,0.8177
3,132-attributes,exp_23,1.0,0.8051999999880791,0.8300000000000001,0.17,0.43,1.0,1.0,0.5,0.5,0.28,0.0,TwoStageWithin,1.0462,0.331,0.0,0.7649
4,132-attributes,exp_91,1.0,0.40309999996423723,0.4,0.38,0.3,0.0,1.0,0.5,0.5,0.5,0.0,TwoStageWithin,1.0751,0.4505,1.0,2.6367
5,132-attributes,exp_45,1.0,0.5476000000238419,0.79,0.48,0.16999999999999996,0.0,1.0,0.5,0.5,0.81,0.0,TwoStageWithin,0.4158,0.0043,0.0,0.2496
6,132-attributes,exp_107,0.0,0.82,0.3,0.4,0.21000000000000002,0.0,1.0,0.5,0.5,0.78,1.0,TwoStageWithin,1.0561,0.6269,1.0,0.2923
7,132-attributes,exp_53,0.0,0.8276999999880791,0.82,0.32,0.6900000000000001,0.0,1.0,0.5,0.5,0.49,1.0,TwoStageWithin,0.9718,0.7799,1.0,0.4338
8,132-attributes,exp_19,1.0,0.3993000000119209,0.8300000000000001,0.17,0.43,0.0,1.0,0.5,0.5,0.28,0.0,TwoStageWithin,1.0462,0.331,0.0,0.6942
9,132-attributes,catch_5,1.0,0.8092000000476837,0.43,0.49,0.32,1.0,1.0,0.5,0.5,0.4,0.0,TwoStageWithin,0.9278,0.1689,0.0,0.2114
