,subject_id,condition,choice,rt,gp,p1,last_stage_favours,m1,m0,gm,p0,presentation01,choice_formatted,model,pred_mean_rt,pred_p_choose_0,pred_choice,pred_rt
0,12-TwoStageMixtureNoScaling,catch_8,0.0,0.3699,0.5,0.32,1.0,0.5,0.37,0.5,0.22,0.0,0.0,TwoStageBetween,0.8681,0.07,0.0,0.502
1,12-TwoStageMixtureNoScaling,exp_68,0.0,0.649,0.5,0.51,0.0,0.52,0.42,0.5,0.72,0.0,0.0,TwoStageBetween,1.1684,0.6585,1.0,0.8993
2,12-TwoStageMixtureNoScaling,exp_26,0.0,0.4659,0.5,0.17,0.0,0.3,0.2,0.5,0.3,0.0,0.0,TwoStageBetween,1.1393,0.7155,0.0,3.3509
3,12-TwoStageMixtureNoScaling,exp_43,0.0,0.2417,0.6,0.48,0.0,0.79,0.1699999999999999,0.4,0.81,1.0,0.0,TwoStageBetween,1.0668,0.1802,0.0,1.7739
4,12-TwoStageMixtureNoScaling,exp_80,0.0,0.7622,0.5,0.29,1.0,0.8099999999999999,0.22,0.5,0.61,0.0,0.0,TwoStageBetween,1.1567,0.2927,1.0,1.3205
5,12-TwoStageMixtureNoScaling,exp_47,0.0,0.5207,0.4,0.48,1.0,0.79,0.1699999999999999,0.6,0.81,1.0,0.0,TwoStageBetween,0.8134,0.053,0.0,0.9969
6,12-TwoStageMixtureNoScaling,exp_60,0.0,2.2846,0.5,0.21,0.0,0.62,0.18,0.5,0.41,0.0,0.0,TwoStageBetween,1.1423,0.2681,0.0,2.4945
7,12-TwoStageMixtureNoScaling,exp_82,1.0,1.6058,0.5,0.29,0.0,0.8099999999999999,0.22,0.5,0.61,0.0,1.0,TwoStageBetween,1.1567,0.2927,0.0,0.3075
8,12-TwoStageMixtureNoScaling,exp_101,1.0,0.2058,0.4,0.38,0.0,0.6900000000000001,0.49,0.6,0.58,1.0,1.0,TwoStageBetween,1.0956,0.7758,1.0,2.0809
9,12-TwoStageMixtureNoScaling,exp_1,1.0,0.9315,0.6,0.49,1.0,0.8300000000000001,0.53,0.4,0.79,1.0,1.0,TwoStageBetween,1.2012,0.4392,0.0,0.863
10,12-TwoStageMixtureNoScaling,exp_116,1.0,2.6549,0.5,0.22,0.0,0.79,0.42,0.5,0.49,0.0,1.0,TwoStageBetween,1.1175,0.7482,1.0,0.94
11,12-TwoStageMixtureNoScaling,exp_107,1.0,1.1266,0.6,0.4,0.0,0.3,0.21,0.4,0.78,1.0,1.0,TwoStageBetween,0.9337,0.8988,1.0,0.939
12,12-TwoStageMixtureNoScaling,exp_53,1.0,0.6653,0.4,0.32,0.0,0.82,0.6900000000000001,0.6,0.49,1.0,1.0,TwoStageBetween,0.9978,0.8618,1.0,0.1652
13,12-TwoStageMixtureNoScaling,exp_25,1.0,1.4122,0.6,0.17,1.0,0.3,0.2,0.4,0.3,1.0,1.0,TwoStageBetween,1.1972,0.5597,,
